# 20240725_151047
alpha,Dpi0Re,Dpi0Im
0.696559,0.148935,0
0.698132,0.1504,0
0.699704,0.151882,0
0.701276,0.153347,0
0.702849,0.1548,0
0.704421,0.156245,0
0.705994,0.157714,0
0.707566,0.159136,0
0.709138,0.160502,0
0.710711,0.161835,0
0.712283,0.163147,0
0.713855,0.164457,0
0.715428,0.165779,0
0.717,0.16713,0
0.718572,0.168517,0
0.720145,0.169913,0
0.721717,0.171294,0
0.72329,0.172677,0
0.724862,0.174053,0
0.726434,0.175421,0
0.728007,0.176784,0
0.729579,0.178143,0
0.731151,0.179497,0
0.732724,0.180845,0
0.734296,0.182184,0
0.735869,0.183512,0
0.737441,0.184837,0
0.739013,0.186149,0
0.740586,0.187453,0
0.742158,0.188778,0
0.74373,0.190005,0
0.745303,0.191171,0
0.746875,0.192297,0
0.748447,0.193402,0
0.75002,0.194506,0
0.751592,0.195629,0
0.753165,0.196771,0
0.754737,0.197947,0
0.756309,0.199131,0
0.757882,0.200287,0
0.759454,0.201446,0
0.761026,0.202594,0
0.762599,0.203734,0
0.764171,0.204867,0
0.765744,0.205993,0
0.767316,0.207112,0
0.768888,0.208221,0
0.770461,0.209321,0
0.772033,0.210412,0
0.773605,0.211492,0
0.775178,0.212562,0
0.77675,0.21362,0
0.778323,0.214668,0
0.779895,0.215705,0
0.781467,0.21673,0
0.78304,0.217743,0
0.784612,0.21874,0
0.786184,0.219727,0
0.787757,0.220695,0
0.789329,0.221674,0
0.790901,0.222558,0
0.792474,0.223373,0
0.794046,0.224144,0
0.795619,0.224893,0
0.797191,0.225639,0
0.798763,0.226363,0
0.800336,0.227075,0
0.801908,0.227805,0
0.80348,0.228608,0
0.805053,0.229387,0
0.806625,0.230139,0
0.808198,0.230877,0
0.80977,0.231594,0
0.811342,0.232292,0
0.812915,0.232972,0
0.814487,0.233635,0
0.816059,0.234289,0
0.817632,0.234936,0
0.819204,0.235576,0
0.820776,0.236208,0
0.822349,0.236832,0
0.823921,0.237445,0
0.825494,0.238048,0
0.827066,0.238641,0
0.828638,0.239223,0
0.830211,0.239792,0
0.831783,0.240348,0
0.833355,0.240892,0
0.834928,0.241422,0
0.8365,0.241936,0
0.838073,0.242436,0
0.839645,0.24292,0
0.841217,0.243387,0
0.84279,0.243837,0
0.844362,0.244271,0
0.845934,0.244686,0
0.847507,0.245082,0
0.849079,0.24546,0
0.850651,0.245817,0
0.852224,0.246154,0
0.853796,0.246471,0
0.855369,0.246766,0
0.856941,0.247039,0
0.858513,0.24729,0
0.860086,0.247519,0
0.861658,0.247724,0
0.86323,0.247905,0
0.864803,0.248062,0
0.866375,0.248195,0
0.867948,0.2483,0
0.86952,0.248381,0
0.871092,0.248438,0
0.872665,0.248468,0
0.874237,0.248472,0
0.875809,0.248448,0
0.877382,0.248396,0
0.878954,0.248317,0
0.880526,0.248209,0
0.882099,0.248072,0
0.883671,0.24791,0
0.885244,0.247735,0
0.886816,0.247551,0
0.888388,0.247359,0
0.889961,0.247158,0
0.891533,0.246947,0
0.893105,0.246728,0
0.894678,0.2465,0
0.89625,0.246262,0
0.897823,0.246014,0
0.899395,0.245757,0
0.900967,0.245492,0
0.90254,0.245217,0
0.904112,0.244932,0
0.905684,0.244637,0
0.907257,0.244333,0
0.908829,0.24402,0
0.910401,0.243697,0
0.911974,0.243364,0
0.913546,0.243022,0
0.915119,0.242669,0
0.916691,0.242301,0
0.918263,0.241929,0
0.919836,0.241553,0
0.921408,0.241168,0
0.92298,0.240767,0
0.924553,0.240358,0
0.926125,0.23994,0
0.927698,0.239512,0
0.92927,0.239076,0
0.930842,0.23863,0
0.932415,0.238174,0
0.933987,0.237709,0
0.935559,0.237236,0
0.937132,0.236753,0
0.938704,0.236262,0
0.940276,0.235761,0
0.941849,0.235252,0
0.943421,0.234734,0
0.944994,0.234208,0
0.946566,0.233673,0
0.948138,0.23313,0
0.949711,0.232579,0
0.951283,0.232019,0
0.952855,0.231452,0
0.954428,0.230876,0
0.956,0.230293,0
0.957573,0.229703,0
0.959145,0.229104,0
0.960717,0.228497,0
0.96229,0.227884,0
0.963862,0.227263,0
0.965434,0.226636,0
0.967007,0.226001,0
0.968579,0.225361,0
0.970151,0.224713,0
0.971724,0.224058,0
0.973296,0.223396,0
0.974869,0.222728,0
0.976441,0.222054,0
0.978013,0.221375,0
0.979586,0.22069,0
0.981158,0.219999,0
0.98273,0.219301,0
0.984303,0.2186,0
0.985875,0.217891,0
0.987448,0.217179,0
0.98902,0.21646,0
0.990592,0.215736,0
0.992165,0.215007,0
0.993737,0.214274,0
0.995309,0.213536,0
0.996882,0.212793,0
0.998454,0.212046,0
1.00003,0.211296,0
1.0016,0.210541,0
1.00317,0.20978,0
1.00474,0.209015,0
1.00632,0.208246,0
1.00789,0.207473,0
1.00946,0.206698,0
1.01103,0.205919,0
1.01261,0.205136,0
1.01418,0.204348,0
1.01575,0.20356,0
1.01732,0.202772,0
1.01889,0.201977,0
1.02047,0.201166,0
1.02204,0.20035,0
1.02361,0.199551,0
1.02518,0.198757,0
1.02676,0.197913,0
1.02833,0.197148,0
1.0299,0.196184,0
1.03147,0.19483,0
1.03305,0.192584,0
1.03462,0.190282,0
1.03619,0.188804,0
1.03776,0.188295,0
1.03934,0.187423,0
1.04091,0.18658,0
1.04248,0.185698,0
1.04405,0.184862,0
1.04563,0.184029,0
1.0472,0.183204,0
1.04877,0.182384,0
1.05034,0.181568,0
1.05191,0.180756,0
1.05349,0.179953,0
1.05506,0.179155,0
1.05663,0.178362,0
1.0582,0.177576,0
1.05978,0.176794,0
1.06135,0.17602,0
1.06292,0.175249,0
1.06449,0.174485,0
1.06607,0.173726,0
1.06764,0.172972,0
1.06921,0.172224,0
1.07078,0.171483,0
1.07236,0.170746,0
1.07393,0.170014,0
1.0755,0.16929,0
1.07707,0.168567,0
1.07864,0.167851,0
1.08022,0.167143,0
1.08179,0.166439,0
1.08336,0.165739,0
1.08493,0.165047,0
1.08651,0.164358,0
1.08808,0.163667,0
1.08965,0.162966,0
1.09122,0.1623,0
1.0928,0.161679,0
1.09437,0.161106,0
1.09594,0.160568,0
1.09751,0.159632,0
1.09909,0.158304,0
1.10066,0.156684,0
1.10223,0.153396,0
1.1038,0.151707,0
1.10538,0.150896,0
1.10695,0.150294,0
1.10852,0.149442,0
1.11009,0.148841,0
1.11166,0.148324,0
1.11324,0.147796,0
1.11481,0.147164,0
1.11638,0.146449,0
1.11795,0.145736,0
1.11953,0.145027,0
1.1211,0.144361,0
1.12267,0.143769,0
1.12424,0.143147,0
1.12582,0.142514,0
1.12739,0.141892,0
1.12896,0.141268,0
1.13053,0.140645,0
1.13211,0.140024,0
1.13368,0.139408,0
1.13525,0.138794,0
1.13682,0.138182,0
1.13839,0.137572,0
1.13997,0.136967,0
1.14154,0.136363,0
1.14311,0.13576,0
1.14468,0.135164,0
1.14626,0.13457,0
1.14783,0.133967,0
1.1494,0.133391,0
1.15097,0.13286,0
1.15255,0.132291,0
1.15412,0.131641,0
1.15569,0.130965,0
1.15726,0.130292,0
1.15884,0.129666,0
1.16041,0.129301,0
1.16198,0.128997,0
1.16355,0.128353,0
1.16513,0.126927,0
1.1667,0.124247,0
1.16827,0.121738,0
1.16984,0.119552,0
1.17141,0.118637,0
1.17299,0.118561,0
1.17456,0.118495,0
1.17613,0.118023,0
1.1777,0.117394,0
1.17928,0.116933,0
1.18085,0.116392,0
1.18242,0.115845,0
1.18399,0.115347,0
1.18557,0.114873,0
1.18714,0.114398,0
1.18871,0.113905,0
1.19028,0.1134,0
1.19186,0.112892,0
1.19343,0.112388,0
1.195,0.111896,0
1.19657,0.111414,0
1.19814,0.11093,0
1.19972,0.110448,0
1.20129,0.109969,0
1.20286,0.109492,0
1.20443,0.109017,0
1.20601,0.108545,0
1.20758,0.108073,0
1.20915,0.1076,0
1.21072,0.107133,0
1.2123,0.106675,0
1.21387,0.106213,0
1.21544,0.105736,0
1.21701,0.105247,0
1.21859,0.104761,0
1.22016,0.104289,0
1.22173,0.103857,0
1.2233,0.103445,0
1.22488,0.102922,0
1.22645,0.102404,0
1.22802,0.102167,0
1.22959,0.101721,0
1.23116,0.100809,0
1.23274,0.0997735,0
1.23431,0.0986022,0
1.23588,0.096439,0
1.23745,0.0948468,0
1.23903,0.0942278,0
1.2406,0.0935143,0
1.24217,0.0931304,0
1.24374,0.092905,0
1.24532,0.0925312,0
1.24689,0.0921009,0
1.24846,0.0917107,0
1.25003,0.0913565,0
1.25161,0.0909791,0
1.25318,0.0905894,0
1.25475,0.0902001,0
1.25632,0.0898211,0
1.25789,0.0894505,0
1.25947,0.0890836,0
1.26104,0.0887166,0
1.26261,0.0883462,0
1.26418,0.0879752,0
1.26576,0.0876069,0
1.26733,0.087238,0
1.2689,0.0868687,0
1.27047,0.0864994,0
1.27205,0.0861303,0
1.27362,0.0857617,0
1.27519,0.0853935,0
1.27676,0.0850252,0
1.27834,0.0846568,0
1.27991,0.0842879,0
1.28148,0.0839184,0
1.28305,0.0835486,0
1.28463,0.0831786,0
1.2862,0.0828088,0
1.28777,0.0824388,0
1.28934,0.0820679,0
1.29091,0.0816963,0
1.29249,0.0813252,0
1.29406,0.0809553,0
1.29563,0.0805863,0
1.2972,0.080217,0
1.29878,0.0798464,0
1.30035,0.0794733,0
1.30192,0.0790976,0
1.30349,0.078721,0
1.30507,0.0783454,0
1.30664,0.0779727,0
1.30821,0.0776053,0
1.30978,0.0772343,0
1.31136,0.0768558,0
1.31293,0.0764995,0
1.3145,0.076137,0
1.31607,0.0757515,0
1.31764,0.0750423,0
1.31922,0.0742934,0
1.32079,0.0735399,0
1.32236,0.0727953,0
1.32393,0.0721073,0
1.32551,0.0715958,0
1.32708,0.0712079,0
1.32865,0.0708733,0
1.33022,0.0705243,0
1.3318,0.0702109,0
1.33337,0.0699565,0
1.33494,0.0697252,0
1.33651,0.0694811,0
1.33809,0.0691986,0
1.33966,0.0689049,0
1.34123,0.0686176,0
1.3428,0.0683296,0
1.34438,0.0680417,0
1.34595,0.0677544,0
1.34752,0.0674669,0
1.34909,0.0671795,0
1.35066,0.0668922,0
1.35224,0.0666052,0
1.35381,0.0663187,0
1.35538,0.0660326,0
1.35695,0.065747,0
1.35853,0.0654616,0
1.3601,0.0651765,0
1.36167,0.0648919,0
1.36324,0.0646079,0
1.36482,0.0643244,0
1.36639,0.0640415,0
1.36796,0.0637595,0
1.36953,0.0634783,0
1.37111,0.0631979,0
1.37268,0.0629186,0
1.37425,0.0626403,0
1.37582,0.062363,0
1.37739,0.0620868,0
1.37897,0.0618121,0
1.38054,0.0615383,0
1.38211,0.0612657,0
1.38368,0.0609948,0
1.38526,0.0607261,0
1.38683,0.0604594,0
1.3884,0.0601945,0
1.38997,0.0599311,0
1.39155,0.0596694,0
1.39312,0.05941,0
1.39469,0.0591528,0
1.39626,0.0588982,0
1.39784,0.0586461,0
1.39941,0.0583968,0
1.40098,0.0581493,0
1.40255,0.0579064,0
1.40413,0.0576677,0
1.4057,0.0574312,0
1.40727,0.0571973,0
1.40884,0.0569663,0
1.41041,0.0567386,0
1.41199,0.0565146,0
1.41356,0.0562948,0
1.41513,0.0560797,0
1.4167,0.0558694,0
1.41828,0.0556639,0
1.41985,0.0554636,0
1.42142,0.055268,0
1.42299,0.0550763,0
1.42457,0.0548896,0
1.42614,0.0547092,0
1.42771,0.0545341,0
1.42928,0.0543651,0
1.43086,0.054202,0
1.43243,0.0540438,0
1.434,0.0538949,0
1.43557,0.0537533,0
1.43714,0.053616,0
1.43872,0.0534844,0
1.44029,0.0533597,0
1.44186,0.0532431,0
1.44343,0.0531354,0
1.44501,0.0530356,0
1.44658,0.0529435,0
1.44815,0.0528584,0
1.44972,0.0527801,0
1.4513,0.0527087,0
1.45287,0.0526474,0
