# 20240731_151921
alpha,rRe,rIm
0.831783,9.04153,0
0.833355,9.04545,0
0.834928,9.04928,0
0.8365,9.05302,0
0.838073,9.05667,0
0.839645,9.06023,0
0.841217,9.0637,0
0.84279,9.06709,0
0.844362,9.07038,0
0.845934,9.07359,0
0.847507,9.07671,0
0.849079,9.07974,0
0.850651,9.08268,0
0.852224,9.08553,0
0.853796,9.0883,0
0.855369,9.09098,0
0.856941,9.09357,0
0.858513,9.09607,0
0.860086,9.09849,0
0.861658,9.10082,0
0.86323,9.10306,0
0.864803,9.10522,0
0.866375,9.10729,0
0.867948,9.10928,0
0.86952,9.11118,0
0.871092,9.11299,0
0.872665,9.11472,0
0.874237,9.11637,0
0.875809,9.11793,0
0.877382,9.11941,0
0.878954,9.1208,0
0.880526,9.12211,0
0.882099,9.12334,0
0.883671,9.12448,0
0.885244,9.12554,0
0.886816,9.12652,0
0.888388,9.12742,0
0.889961,9.12824,0
0.891533,9.12897,0
0.893105,9.12963,0
0.894678,9.1302,0
0.89625,9.1307,0
0.897823,9.13112,0
0.899395,9.13146,0
0.900967,9.13171,0
0.90254,9.1319,0
0.904112,9.13199,0
0.905684,9.13198,0
0.907257,9.13197,0
0.908829,9.13185,0
0.910401,9.13163,0
0.911974,9.13135,0
0.913546,9.131,0
0.915119,9.13057,0
0.916691,9.13006,0
0.918263,9.12948,0
0.919836,9.12883,0
0.921408,9.12811,0
0.92298,9.12731,0
0.924553,9.12644,0
0.926125,9.1255,0
0.927698,9.12449,0
0.92927,9.12341,0
0.930842,9.12227,0
0.932415,9.12105,0
0.933987,9.11976,0
0.935559,9.11841,0
0.937132,9.11698,0
0.938704,9.1155,0
0.940276,9.11394,0
0.941849,9.11232,0
0.943421,9.11063,0
0.944994,9.10888,0
0.946566,9.10707,0
0.948138,9.10519,0
0.949711,9.10325,0
0.951283,9.10125,0
0.952855,9.09919,0
0.954428,9.09706,0
0.956,9.09488,0
0.957573,9.09263,0
0.959145,9.09033,0
0.960717,9.08797,0
0.96229,9.08555,0
0.963862,9.08307,0
0.965434,9.08054,0
0.967007,9.07795,0
0.968579,9.07531,0
0.970151,9.07261,0
0.971724,9.06986,0
0.973296,9.06705,0
0.974869,9.06419,0
0.976441,9.06128,0
0.978013,9.05832,0
0.979586,9.05531,0
0.981158,9.05224,0
0.98273,9.04913,0
0.984303,9.04597,0
0.985875,9.04276,0
0.987448,9.03951,0
0.98902,9.0362,0
0.990592,9.03286,0
0.992165,9.02946,0
0.993737,9.02602,0
0.995309,9.02254,0
0.996882,9.01901,0
0.998454,9.01544,0
1.00003,9.01183,0
1.0016,9.00818,0
1.00317,9.00449,0
1.00474,9.00075,0
1.00632,8.99698,0
1.00789,8.99317,0
1.00946,8.98932,0
1.01103,8.98543,0
1.01261,8.9815,0
1.01418,8.97754,0
1.01575,8.97355,0
1.01732,8.96952,0
1.01889,8.96545,0
1.02047,8.96135,0
1.02204,8.95722,0
1.02361,8.95305,0
1.02518,8.94885,0
1.02676,8.94462,0
1.02833,8.94036,0
1.0299,8.93608,0
1.03147,8.93176,0
1.03305,8.92741,0
1.03462,8.92303,0
1.03619,8.91863,0
1.03776,8.9142,0
1.03934,8.90974,0
1.04091,8.90526,0
1.04248,8.90075,0
1.04405,8.89622,0
1.04563,8.89166,0
1.0472,8.88708,0
1.04877,8.88247,0
1.05034,8.87785,0
1.05191,8.8732,0
1.05349,8.86853,0
1.05506,8.86384,0
1.05663,8.85912,0
1.0582,8.85439,0
1.05978,8.84964,0
1.06135,8.84487,0
1.06292,8.84009,0
1.06449,8.83528,0
1.06607,8.83046,0
1.06764,8.82562,0
1.06921,8.82076,0
1.07078,8.81589,0
1.07236,8.811,0
1.07393,8.8061,0
1.0755,8.80118,0
1.07707,8.79625,0
1.07864,8.79131,0
1.08022,8.78635,0
1.08179,8.78138,0
1.08336,8.7764,0
1.08493,8.77141,0
1.08651,8.7664,0
1.08808,8.76139,0
1.08965,8.75636,0
1.09122,8.75133,0
1.0928,8.74628,0
1.09437,8.74123,0
1.09594,8.73616,0
1.09751,8.73109,0
1.09909,8.72601,0
1.10066,8.72093,0
1.10223,8.71583,0
1.1038,8.71073,0
1.10538,8.70562,0
1.10695,8.70051,0
1.10852,8.69539,0
1.11009,8.69027,0
1.11166,8.68514,0
1.11324,8.68001,0
1.11481,8.67487,0
