# 20240725_151406
alpha,DrRe,DrIm
0.808198,3.33168,0
0.80977,3.27753,0
0.811342,3.22359,0
0.812915,3.16969,0
0.814487,3.11563,0
0.816059,3.06132,0
0.817632,3.00692,0
0.819204,2.95255,0
0.820776,2.89819,0
0.822349,2.84374,0
0.823921,2.78922,0
0.825494,2.73465,0
0.827066,2.68004,0
0.828638,2.62539,0
0.830211,2.57069,0
0.831783,2.51595,0
0.833355,2.46118,0
0.834928,2.40639,0
0.8365,2.35158,0
0.838073,2.29675,0
0.839645,2.24191,0
0.841217,2.18705,0
0.84279,2.13219,0
0.844362,2.07733,0
0.845934,2.02247,0
0.847507,1.96761,0
0.849079,1.91276,0
0.850651,1.85794,0
0.852224,1.80314,0
0.853796,1.74837,0
0.855369,1.69363,0
0.856941,1.63892,0
0.858513,1.58424,0
0.860086,1.5296,0
0.861658,1.47504,0
0.86323,1.42054,0
0.864803,1.36609,0
0.866375,1.31172,0
0.867948,1.25746,0
0.86952,1.20324,0
0.871092,1.14909,0
0.872665,1.09502,0
0.874237,1.04106,0
0.875809,0.987243,0
0.877382,0.933537,0
0.878954,0.879952,0
0.880526,0.826493,0
0.882099,0.773187,0
0.883671,0.719993,0
0.885244,0.666945,0
0.886816,0.614063,0
0.888388,0.561329,0
0.889961,0.508751,0
0.891533,0.456388,0
0.893105,0.404221,0
0.894678,0.352252,0
0.89625,0.30047,0
0.897823,0.248941,0
0.899395,0.197666,0
0.900967,0.146558,0
0.90254,0.095647,0
0.904112,0.0449624,0
0.905684,-0.00544568,0
0.907257,-0.0555813,0
0.908829,-0.105476,0
0.910401,-0.155032,0
0.911974,-0.204302,0
0.913546,-0.253293,0
0.915119,-0.301969,0
0.916691,-0.350244,0
0.918263,-0.398281,0
0.919836,-0.446068,0
0.921408,-0.493526,0
0.92298,-0.540549,0
0.924553,-0.58724,0
0.926125,-0.633508,0
0.927698,-0.679443,0
0.92927,-0.725018,0
0.930842,-0.770185,0
0.932415,-0.814984,0
0.933987,-0.859412,0
0.935559,-0.903361,0
0.937132,-0.946914,0
0.938704,-0.990007,0
0.940276,-1.03255,0
0.941849,-1.07478,0
0.943421,-1.11666,0
0.944994,-1.15817,0
0.946566,-1.19909,0
0.948138,-1.23949,0
0.949711,-1.27943,0
0.951283,-1.3189,0
0.952855,-1.35787,0
0.954428,-1.39632,0
0.956,-1.43434,0
0.957573,-1.47182,0
0.959145,-1.50881,0
0.960717,-1.54537,0
0.96229,-1.58133,0
0.963862,-1.61675,0
0.965434,-1.65166,0
0.967007,-1.68608,0
0.968579,-1.71975,0
0.970151,-1.75298,0
0.971724,-1.78581,0
0.973296,-1.81818,0
0.974869,-1.85,0
0.976441,-1.88114,0
0.978013,-1.91172,0
0.979586,-1.94168,0
0.981158,-1.97116,0
0.98273,-2.00011,0
0.984303,-2.0284,0
0.985875,-2.05623,0
0.987448,-2.08348,0
0.98902,-2.11018,0
0.990592,-2.13638,0
0.992165,-2.16205,0
0.993737,-2.18705,0
0.995309,-2.21152,0
0.996882,-2.23543,0
0.998454,-2.25883,0
1.00003,-2.28153,0
1.0016,-2.30369,0
1.00317,-2.32545,0
1.00474,-2.34677,0
1.00632,-2.36757,0
1.00789,-2.38769,0
1.00946,-2.40724,0
1.01103,-2.42625,0
1.01261,-2.44476,0
1.01418,-2.4628,0
1.01575,-2.48011,0
1.01732,-2.49668,0
1.01889,-2.513,0
1.02047,-2.52961,0
1.02204,-2.5459,0
1.02361,-2.56038,0
1.02518,-2.57377,0
1.02676,-2.58976,0
1.02833,-2.5996,0
1.0299,-2.62144,0
1.03147,-2.67717,0
1.03305,-2.77444,0
1.03462,-2.87489,0
1.03619,-2.93916,0
1.03776,-2.95024,0
1.03934,-2.95435,0
1.04091,-2.96207,0
1.04248,-2.97549,0
1.04405,-2.98593,0
1.04563,-2.99611,0
1.0472,-3.00559,0
1.04877,-3.01456,0
1.05034,-3.02326,0
1.05191,-3.03152,0
1.05349,-3.03919,0
1.05506,-3.04634,0
1.05663,-3.05308,0
1.0582,-3.05933,0
1.05978,-3.0652,0
1.06135,-3.07056,0
1.06292,-3.07555,0
1.06449,-3.08011,0
1.06607,-3.08425,0
1.06764,-3.08802,0
1.06921,-3.09135,0
1.07078,-3.09426,0
1.07236,-3.0968,0
1.07393,-3.099,0
1.0755,-3.10073,0
1.07707,-3.10224,0
1.07864,-3.10337,0
1.08022,-3.10405,0
1.08179,-3.10436,0
1.08336,-3.10444,0
1.08493,-3.10401,0
1.08651,-3.10367,0
1.08808,-3.10332,0
1.08965,-3.10206,0
1.09122,-3.09633,0
1.0928,-3.08846,0
1.09437,-3.08189,0
1.09594,-3.0804,0
1.09751,-3.09664,0
1.09909,-3.13149,0
1.10066,-3.18811,0
1.10223,-3.34138,0
1.1038,-3.40035,0
1.10538,-3.4053,0
1.10695,-3.39467,0
1.10852,-3.40154,0
1.11009,-3.39345,0
1.11166,-3.37961,0
1.11324,-3.36578,0
1.11481,-3.3577,0
1.11638,-3.35535,0
1.11795,-3.3539,0
1.11953,-3.35185,0
1.1211,-3.34639,0
1.12267,-3.33708,0
1.12424,-3.32929,0
1.12582,-3.32192,0
1.12739,-3.31387,0
1.12896,-3.30575,0
1.13053,-3.29755,0
1.13211,-3.2891,0
1.13368,-3.28033,0
1.13525,-3.27137,0
1.13682,-3.26229,0
1.13839,-3.25301,0
1.13997,-3.24348,0
1.14154,-3.23388,0
1.14311,-3.22417,0
1.14468,-3.2141,0
1.14626,-3.20396,0
1.14783,-3.19438,0
1.1494,-3.18325,0
1.15097,-3.16979,0
1.15255,-3.15829,0
1.15412,-3.15161,0
1.15569,-3.14706,0
1.15726,-3.14199,0
1.15884,-3.13296,0
1.16041,-3.10812,0
1.16198,-3.08202,0
1.16355,-3.07888,0
1.16513,-3.11794,0
1.1667,-3.22567,0
1.16827,-3.31578,0
1.16984,-3.39146,0
1.17141,-3.41435,0
1.17299,-3.38059,0
1.17456,-3.33217,0
1.17613,-3.30988,0
1.1777,-3.30165,0
1.17928,-3.28371,0
1.18085,-3.27048,0
1.18242,-3.25771,0
1.18399,-3.24221,0
1.18557,-3.22548,0
1.18714,-3.20884,0
1.18871,-3.19339,0
1.19028,-3.17867,0
1.19186,-3.1642,0
1.19343,-3.14958,0
1.195,-3.13441,0
1.19657,-3.11871,0
1.19814,-3.10326,0
1.19972,-3.08776,0
1.20129,-3.0722,0
1.20286,-3.0566,0
1.20443,-3.04098,0
1.20601,-3.02532,0
1.20758,-3.0097,0
1.20915,-2.99429,0
1.21072,-2.97857,0
1.2123,-2.96249,0
1.21387,-2.94671,0
1.21544,-2.9319,0
1.21701,-2.9178,0
1.21859,-2.90368,0
1.22016,-2.8888,0
1.22173,-2.87182,0
1.2233,-2.85383,0
1.22488,-2.84213,0
1.22645,-2.83012,0
1.22802,-2.80264,0
1.22959,-2.7869,0
1.23116,-2.79454,0
1.23274,-2.81114,0
1.23431,-2.84096,0
1.23588,-2.91485,0
1.23745,-2.9642,0
1.23903,-2.96209,0
1.2406,-2.95562,0
1.24217,-2.93492,0
1.24374,-2.90628,0
1.24532,-2.88561,0
1.24689,-2.8682,0
1.24846,-2.84861,0
1.25003,-2.82713,0
1.25161,-2.80705,0
1.25318,-2.78776,0
1.25475,-2.76856,0
1.25632,-2.74888,0
1.25789,-2.72883,0
1.25947,-2.70866,0
1.26104,-2.6886,0
1.26261,-2.66883,0
1.26418,-2.64918,0
1.26576,-2.62943,0
1.26733,-2.60978,0
1.2689,-2.59022,0
1.27047,-2.5707,0
1.27205,-2.55122,0
1.27362,-2.53178,0
1.27519,-2.51236,0
1.27676,-2.49299,0
1.27834,-2.47367,0
1.27991,-2.45443,0
1.28148,-2.43526,0
1.28305,-2.41615,0
1.28463,-2.39709,0
1.2862,-2.37805,0
1.28777,-2.35907,0
1.28934,-2.34017,0
1.29091,-2.32133,0
1.29249,-2.30249,0
1.29406,-2.28361,0
1.29563,-2.26472,0
1.2972,-2.24586,0
1.29878,-2.2271,0
1.30035,-2.20849,0
1.30192,-2.19004,0
1.30349,-2.17165,0
1.30507,-2.15323,0
1.30664,-2.13469,0
1.30821,-2.11584,0
1.30978,-2.09719,0
1.31136,-2.07897,0
1.31293,-2.0595,0
1.3145,-2.04047,0
1.31607,-2.02282,0
1.31764,-2.02243,0
1.31922,-2.02525,0
1.32079,-2.02861,0
1.32236,-2.0309,0
1.32393,-2.02901,0
1.32551,-2.0174,0
1.32708,-1.99898,0
1.32865,-1.97753,0
1.33022,-1.95668,0
1.3318,-1.93374,0
1.33337,-1.90747,0
1.33494,-1.87989,0
1.33651,-1.85303,0
1.33809,-1.82831,0
1.33966,-1.80419,0
1.34123,-1.77968,0
1.3428,-1.75517,0
1.34438,-1.73062,0
1.34595,-1.706,0
1.34752,-1.68135,0
1.34909,-1.65662,0
1.35066,-1.63183,0
1.35224,-1.60698,0
1.35381,-1.58206,0
1.35538,-1.55703,0
1.35695,-1.5319,0
1.35853,-1.50669,0
1.3601,-1.48139,0
1.36167,-1.45601,0
1.36324,-1.43055,0
1.36482,-1.40494,0
1.36639,-1.37922,0
1.36796,-1.35337,0
1.36953,-1.32738,0
1.37111,-1.30127,0
1.37268,-1.275,0
1.37425,-1.24856,0
1.37582,-1.22199,0
1.37739,-1.19528,0
1.37897,-1.16837,0
1.38054,-1.14131,0
1.38211,-1.11407,0
1.38368,-1.08664,0
1.38526,-1.05898,0
1.38683,-1.03108,0
1.3884,-1.00296,0
1.38997,-0.974658,0
1.39155,-0.946185,0
1.39312,-0.917419,0
1.39469,-0.888423,0
1.39626,-0.859156,0
1.39784,-0.829628,0
1.39941,-0.799827,0
1.40098,-0.769808,0
1.40255,-0.739379,0
1.40413,-0.708552,0
1.4057,-0.677492,0
1.40727,-0.646179,0
1.40884,-0.614595,0
1.41041,-0.582718,0
1.41199,-0.550531,0
1.41356,-0.517948,0
1.41513,-0.484932,0
1.4167,-0.451514,0
1.41828,-0.417712,0
1.41985,-0.383472,0
1.42142,-0.348841,0
1.42299,-0.313885,0
1.42457,-0.278523,0
1.42614,-0.242667,0
1.42771,-0.206385,0
1.42928,-0.169639,0
1.43086,-0.132444,0
1.43243,-0.0948561,0
1.434,-0.0566176,0
1.43557,-0.0178416,0
1.43714,0.0212927,0
1.43872,0.0608466,0
1.44029,0.100881,0
1.44186,0.141458,0
1.44343,0.18263,0
1.44501,0.224386,0
1.44658,0.26668,0
1.44815,0.309468,0
1.44972,0.352705,0
1.4513,0.39639,0
1.45287,0.440765,0
1.45444,0.485783,0
1.45601,0.531339,0
1.45759,0.577499,0
1.45916,0.624227,0
1.46073,0.671423,0
1.4623,0.719249,0
1.46388,0.767668,0
1.46545,0.816672,0
1.46702,0.866276,0
1.46859,0.916462,0
1.47016,0.967174,0
1.47174,1.01873,0
1.47331,1.07084,0
1.47488,1.12343,0
1.47645,1.17655,0
1.47803,1.23027,0
1.4796,1.28465,0
1.48117,1.33974,0
1.48274,1.39547,0
1.48432,1.4518,0
1.48589,1.50878,0
1.48746,1.56649,0
1.48903,1.62485,0
1.49061,1.68385,0
1.49218,1.74361,0
1.49375,1.80406,0
1.49532,1.86533,0
1.49689,1.9273,0
1.49847,1.99008,0
1.50004,2.05386,0
1.50161,2.1183,0
1.50318,2.18301,0
1.50476,2.24917,0
1.50633,2.31781,0
1.5079,2.38818,0
1.50947,2.459,0
1.51105,2.52881,0
1.51262,2.59763,0
1.51419,2.6682,0
1.51576,2.74401,0
1.51734,2.82485,0
1.51891,2.89492,0
1.52048,2.98955,0
1.52205,3.07966,0
1.52363,3.13089,0
1.5252,3.17094,0
1.52677,3.21202,0
1.52834,3.28594,0
1.52991,3.41741,0
1.53149,3.53712,0
1.53306,3.61603,0
1.53463,3.68507,0
1.5362,3.76716,0
1.53778,3.87462,0
1.53935,3.99736,0
1.54092,4.12274,0
1.54249,4.24283,0
1.54407,4.36984,0
1.54564,4.50617,0
1.54721,4.64918,0
1.54878,4.79943,0
1.55036,4.95926,0
1.55193,5.12859,0
1.5535,5.30887,0
1.55507,5.50067,0
1.55665,5.70345,0
1.55822,5.91756,0
1.55979,6.14789,0
1.56136,6.39227,0
1.56293,6.65255,0
1.56451,6.92969,0
1.56608,7.22551,0
1.56765,7.54409,0
1.56922,7.88755,0
1.5708,8.22728,0
