# 20240725_151035
alpha,thetaRe,thetaIm
0.949711,2.28705,0
0.951283,2.29156,0
0.952855,2.29606,0
0.954428,2.30056,0
0.956,2.30504,0
0.957573,2.30952,0
0.959145,2.31398,0
0.960717,2.31843,0
0.96229,2.32288,0
0.963862,2.32731,0
0.965434,2.33173,0
0.967007,2.33614,0
0.968579,2.34054,0
0.970151,2.34493,0
0.971724,2.3493,0
0.973296,2.35367,0
0.974869,2.35802,0
0.976441,2.36235,0
0.978013,2.36668,0
0.979586,2.37099,0
0.981158,2.37528,0
0.98273,2.37956,0
0.984303,2.38383,0
0.985875,2.38809,0
0.987448,2.39232,0
0.98902,2.39655,0
0.990592,2.40075,0
0.992165,2.40495,0
0.993737,2.40912,0
0.995309,2.41328,0
0.996882,2.41742,0
0.998454,2.42155,0
1.00003,2.42566,0
1.0016,2.42975,0
1.00317,2.43382,0
1.00474,2.43788,0
1.00632,2.44192,0
1.00789,2.44594,0
1.00946,2.44994,0
1.01103,2.45392,0
1.01261,2.45788,0
1.01418,2.46182,0
1.01575,2.46575,0
1.01732,2.46965,0
1.01889,2.47353,0
1.02047,2.47739,0
1.02204,2.48123,0
1.02361,2.48505,0
1.02518,2.48885,0
1.02676,2.49263,0
1.02833,2.49638,0
1.0299,2.50011,0
1.03147,2.50382,0
1.03305,2.50751,0
1.03462,2.51117,0
1.03619,2.51481,0
1.03776,2.51843,0
1.03934,2.52202,0
1.04091,2.5256,0
1.04248,2.52916,0
1.04405,2.53272,0
1.04563,2.53626,0
1.0472,2.5398,0
1.04877,2.54333,0
1.05034,2.54685,0
1.05191,2.55036,0
1.05349,2.55386,0
1.05506,2.55735,0
1.05663,2.56084,0
1.0582,2.56431,0
1.05978,2.56778,0
1.06135,2.57124,0
1.06292,2.57469,0
1.06449,2.57813,0
1.06607,2.58156,0
1.06764,2.58498,0
1.06921,2.58839,0
1.07078,2.5918,0
1.07236,2.59519,0
1.07393,2.59858,0
1.0755,2.60196,0
1.07707,2.60533,0
1.07864,2.60869,0
1.08022,2.61204,0
1.08179,2.61539,0
1.08336,2.61872,0
1.08493,2.62205,0
1.08651,2.62537,0
1.08808,2.62868,0
1.08965,2.63198,0
1.09122,2.63527,0
1.0928,2.63856,0
1.09437,2.64183,0
1.09594,2.6451,0
1.09751,2.64836,0
1.09909,2.65161,0
1.10066,2.65485,0
1.10223,2.65808,0
1.1038,2.66131,0
1.10538,2.66452,0
1.10695,2.66773,0
1.10852,2.67093,0
1.11009,2.67412,0
1.11166,2.67731,0
1.11324,2.68048,0
1.11481,2.68365,0
1.11638,2.68681,0
1.11795,2.68996,0
1.11953,2.6931,0
1.1211,2.69623,0
1.12267,2.69936,0
1.12424,2.70247,0
1.12582,2.70558,0
1.12739,2.70868,0
1.12896,2.71178,0
1.13053,2.71486,0
1.13211,2.71794,0
1.13368,2.72101,0
1.13525,2.72407,0
1.13682,2.72712,0
1.13839,2.73016,0
1.13997,2.7332,0
1.14154,2.73623,0
1.14311,2.73925,0
1.14468,2.74226,0
1.14626,2.74526,0
1.14783,2.74826,0
1.1494,2.75125,0
1.15097,2.75423,0
1.15255,2.7572,0
1.15412,2.76016,0
1.15569,2.76312,0
1.15726,2.76607,0
1.15884,2.76901,0
1.16041,2.77194,0
1.16198,2.77487,0
1.16355,2.77778,0
1.16513,2.78069,0
1.1667,2.78359,0
1.16827,2.78649,0
1.16984,2.78937,0
1.17141,2.79225,0
1.17299,2.79512,0
1.17456,2.79799,0
1.17613,2.80084,0
1.1777,2.80369,0
1.17928,2.80653,0
1.18085,2.80936,0
1.18242,2.81219,0
1.18399,2.815,0
1.18557,2.81781,0
1.18714,2.82062,0
1.18871,2.82341,0
1.19028,2.8262,0
1.19186,2.82898,0
1.19343,2.83175,0
1.195,2.83451,0
1.19657,2.83727,0
1.19814,2.84002,0
1.19972,2.84276,0
1.20129,2.8455,0
1.20286,2.84822,0
1.20443,2.85094,0
1.20601,2.85366,0
1.20758,2.85636,0
1.20915,2.85906,0
1.21072,2.86175,0
1.2123,2.86443,0
1.21387,2.86711,0
1.21544,2.86978,0
1.21701,2.87244,0
1.21859,2.87509,0
1.22016,2.87774,0
1.22173,2.88038,0
1.2233,2.88301,0
1.22488,2.88564,0
1.22645,2.88826,0
1.22802,2.89087,0
1.22959,2.89347,0
1.23116,2.89607,0
1.23274,2.89866,0
1.23431,2.90124,0
1.23588,2.90382,0
1.23745,2.90639,0
1.23903,2.90895,0
1.2406,2.9115,0
1.24217,2.91405,0
1.24374,2.91659,0
1.24532,2.91912,0
1.24689,2.92165,0
1.24846,2.92417,0
1.25003,2.92668,0
1.25161,2.92919,0
1.25318,2.93169,0
1.25475,2.93418,0
1.25632,2.93666,0
1.25789,2.93914,0
1.25947,2.94161,0
1.26104,2.94408,0
1.26261,2.94653,0
1.26418,2.94898,0
1.26576,2.95142,0
1.26733,2.95386,0
1.2689,2.95628,0
1.27047,2.95869,0
1.27205,2.9611,0
1.27362,2.9635,0
1.27519,2.96589,0
1.27676,2.96827,0
1.27834,2.97065,0
1.27991,2.97301,0
1.28148,2.97537,0
1.28305,2.97772,0
1.28463,2.98007,0
1.2862,2.9824,0
1.28777,2.98473,0
1.28934,2.98705,0
1.29091,2.98937,0
1.29249,2.99167,0
1.29406,2.99397,0
1.29563,2.99627,0
1.2972,2.99855,0
1.29878,3.00083,0
1.30035,3.0031,0
1.30192,3.00536,0
1.30349,3.00762,0
1.30507,3.00987,0
1.30664,3.01212,0
1.30821,3.01435,0
1.30978,3.01659,0
1.31136,3.01881,0
1.31293,3.02103,0
1.3145,3.02324,0
1.31607,3.02545,0
1.31764,3.02765,0
1.31922,3.02984,0
1.32079,3.03203,0
1.32236,3.03421,0
1.32393,3.03638,0
1.32551,3.03855,0
1.32708,3.04072,0
1.32865,3.04288,0
1.33022,3.04503,0
1.3318,3.04718,0
1.33337,3.04932,0
1.33494,3.05146,0
1.33651,3.05359,0
1.33809,3.05571,0
1.33966,3.05783,0
1.34123,3.05995,0
1.3428,3.06206,0
1.34438,3.06417,0
1.34595,3.06627,0
1.34752,3.06836,0
1.34909,3.07046,0
1.35066,3.07254,0
1.35224,3.07462,0
1.35381,3.0767,0
1.35538,3.07878,0
1.35695,3.08085,0
1.35853,3.08291,0
1.3601,3.08497,0
1.36167,3.08703,0
1.36324,3.08908,0
1.36482,3.09113,0
1.36639,3.09317,0
1.36796,3.09521,0
1.36953,3.09725,0
1.37111,3.09928,0
1.37268,3.10131,0
1.37425,3.10334,0
1.37582,3.10536,0
1.37739,3.10738,0
1.37897,3.1094,0
1.38054,3.11141,0
1.38211,3.11342,0
1.38368,3.11542,0
1.38526,3.11743,0
1.38683,3.11943,0
1.3884,3.12142,0
1.38997,3.12342,0
1.39155,3.12541,0
1.39312,3.1274,0
1.39469,3.12938,0
1.39626,3.13137,0
1.39784,3.13335,0
1.39941,3.13533,0
1.40098,3.1373,0
1.40255,3.13928,0
1.40413,3.14125,0
1.4057,3.14322,0
1.40727,3.14519,0
1.40884,3.14715,0
1.41041,3.14911,0
1.41199,3.15108,0
1.41356,3.15304,0
1.41513,3.15499,0
1.4167,3.15695,0
1.41828,3.15891,0
1.41985,3.16086,0
1.42142,3.16281,0
1.42299,3.16476,0
1.42457,3.16671,0
1.42614,3.16866,0
1.42771,3.17061,0
1.42928,3.17255,0
1.43086,3.1745,0
1.43243,3.17644,0
1.434,3.17839,0
1.43557,3.18033,0
1.43714,3.18227,0
1.43872,3.18421,0
1.44029,3.18615,0
1.44186,3.18809,0
1.44343,3.19003,0
1.44501,3.19197,0
1.44658,3.19391,0
1.44815,3.19585,0
1.44972,3.19779,0
1.4513,3.19973,0
1.45287,3.20167,0
1.45444,3.20361,0
1.45601,3.20555,0
1.45759,3.20748,0
1.45916,3.20942,0
1.46073,3.21136,0
1.4623,3.2133,0
1.46388,3.21525,0
1.46545,3.21719,0
1.46702,3.21913,0
1.46859,3.22107,0
1.47016,3.22302,0
1.47174,3.22496,0
1.47331,3.22691,0
1.47488,3.22885,0
1.47645,3.2308,0
1.47803,3.23275,0
1.4796,3.2347,0
1.48117,3.23665,0
1.48274,3.2386,0
1.48432,3.24056,0
1.48589,3.2425,0
1.48746,3.24444,0
1.48903,3.24638,0
1.49061,3.24831,0
1.49218,3.25023,0
1.49375,3.25215,0
1.49532,3.25406,0
1.49689,3.25597,0
1.49847,3.25787,0
1.50004,3.25977,0
1.50161,3.26167,0
1.50318,3.26355,0
1.50476,3.26544,0
1.50633,3.26732,0
1.5079,3.2692,0
1.50947,3.27107,0
1.51105,3.27294,0
1.51262,3.27481,0
1.51419,3.27667,0
1.51576,3.27853,0
1.51734,3.28039,0
1.51891,3.28224,0
1.52048,3.28409,0
1.52205,3.28594,0
1.52363,3.28779,0
1.5252,3.28964,0
1.52677,3.29148,0
1.52834,3.29332,0
1.52991,3.29516,0
1.53149,3.297,0
1.53306,3.29884,0
1.53463,3.30068,0
1.5362,3.30251,0
1.53778,3.30435,0
1.53935,3.30619,0
1.54092,3.30802,0
1.54249,3.30986,0
1.54407,3.31169,0
1.54564,3.31353,0
1.54721,3.31536,0
1.54878,3.3172,0
1.55036,3.31904,0
1.55193,3.32087,0
1.5535,3.32271,0
1.55507,3.32455,0
1.55665,3.3264,0
1.55822,3.32824,0
1.55979,3.33009,0
1.56136,3.33193,0
1.56293,3.33378,0
1.56451,3.33564,0
1.56608,3.33749,0
1.56765,3.33935,0
1.56922,3.34121,0
1.5708,3.34307,0
