# 20240725_151024
alpha,piplusRe,piplusIm
0.946566,-0.64971,0.760182
0.948138,-0.653146,0.757232
0.949711,-0.656563,0.754272
0.951283,-0.659959,0.751302
0.952855,-0.663335,0.748322
0.954428,-0.666691,0.745334
0.956,-0.670027,0.742337
0.957573,-0.673341,0.739332
0.959145,-0.676635,0.736318
0.960717,-0.679909,0.733297
0.96229,-0.68316,0.730268
0.963862,-0.686391,0.727233
0.965434,-0.6896,0.724191
0.967007,-0.692787,0.721142
0.968579,-0.695953,0.718088
0.970151,-0.699096,0.715027
0.971724,-0.702218,0.711962
0.973296,-0.705317,0.708892
0.974869,-0.708394,0.705817
0.976441,-0.711448,0.702739
0.978013,-0.71448,0.699656
0.979586,-0.717488,0.69657
0.981158,-0.720474,0.693482
0.98273,-0.723437,0.69039
0.984303,-0.726377,0.687296
0.985875,-0.729294,0.684201
0.987448,-0.732187,0.681104
0.98902,-0.735056,0.678006
0.990592,-0.737903,0.674907
0.992165,-0.740725,0.671808
0.993737,-0.743524,0.668709
0.995309,-0.746299,0.665611
0.996882,-0.74905,0.662513
0.998454,-0.751777,0.659417
1.00003,-0.75448,0.656323
1.0016,-0.75716,0.65323
1.00317,-0.759814,0.65014
1.00474,-0.762445,0.647053
1.00632,-0.765052,0.643969
1.00789,-0.767634,0.640889
1.00946,-0.770192,0.637813
1.01103,-0.772725,0.634741
1.01261,-0.775234,0.631674
1.01418,-0.777718,0.628613
1.01575,-0.780178,0.625557
1.01732,-0.782614,0.622508
1.01889,-0.785025,0.619465
1.02047,-0.787411,0.616428
1.02204,-0.789773,0.6134
1.02361,-0.79211,0.610379
1.02518,-0.794422,0.607366
1.02676,-0.79671,0.604361
1.02833,-0.798974,0.601366
1.0299,-0.801212,0.59838
1.03147,-0.803426,0.595404
1.03305,-0.805616,0.592438
1.03462,-0.807781,0.589483
1.03619,-0.809921,0.586539
1.03776,-0.812037,0.583606
1.03934,-0.814128,0.580685
1.04091,-0.816198,0.577772
1.04248,-0.818252,0.574859
1.04405,-0.820291,0.571946
1.04563,-0.822314,0.569033
1.0472,-0.824322,0.566121
1.04877,-0.826315,0.563209
1.05034,-0.828292,0.560297
1.05191,-0.830254,0.557385
1.05349,-0.832201,0.554475
1.05506,-0.834132,0.551564
1.05663,-0.836049,0.548655
1.0582,-0.837951,0.545746
1.05978,-0.839837,0.542838
1.06135,-0.841709,0.539931
1.06292,-0.843566,0.537025
1.06449,-0.845408,0.53412
1.06607,-0.847236,0.531217
1.06764,-0.849049,0.528314
1.06921,-0.850847,0.525413
1.07078,-0.852631,0.522513
1.07236,-0.854401,0.519614
1.07393,-0.856156,0.516717
1.0755,-0.857897,0.513821
1.07707,-0.859624,0.510927
1.07864,-0.861336,0.508035
1.08022,-0.863035,0.505144
1.08179,-0.864719,0.502255
1.08336,-0.86639,0.499368
1.08493,-0.868046,0.496483
1.08651,-0.869689,0.4936
1.08808,-0.871318,0.490719
1.08965,-0.872933,0.48784
1.09122,-0.874535,0.484963
1.0928,-0.876123,0.482088
1.09437,-0.877697,0.479216
1.09594,-0.879258,0.476346
1.09751,-0.880806,0.473478
1.09909,-0.88234,0.470613
1.10066,-0.883861,0.46775
1.10223,-0.885369,0.46489
1.1038,-0.886863,0.462032
1.10538,-0.888345,0.459177
1.10695,-0.889813,0.456325
1.10852,-0.891269,0.453475
1.11009,-0.892712,0.450629
1.11166,-0.894141,0.447785
1.11324,-0.895559,0.444944
1.11481,-0.896963,0.442106
1.11638,-0.898355,0.439271
1.11795,-0.899734,0.436439
1.11953,-0.901101,0.43361
1.1211,-0.902455,0.430784
1.12267,-0.903797,0.427961
1.12424,-0.905127,0.425142
1.12582,-0.906444,0.422326
1.12739,-0.907749,0.419513
1.12896,-0.909042,0.416704
1.13053,-0.910323,0.413898
1.13211,-0.911592,0.411096
1.13368,-0.912849,0.408297
1.13525,-0.914094,0.405502
1.13682,-0.915328,0.40271
1.13839,-0.916549,0.399922
1.13997,-0.917759,0.397137
1.14154,-0.918958,0.394357
1.14311,-0.920144,0.39158
1.14468,-0.92132,0.388806
1.14626,-0.922483,0.386037
1.14783,-0.923636,0.383271
1.1494,-0.924777,0.38051
1.15097,-0.925907,0.377752
1.15255,-0.927025,0.374999
1.15412,-0.928133,0.372249
1.15569,-0.929229,0.369503
1.15726,-0.930315,0.366762
1.15884,-0.931389,0.364025
1.16041,-0.932453,0.361291
1.16198,-0.933506,0.358562
1.16355,-0.934548,0.355837
1.16513,-0.935579,0.353117
1.1667,-0.9366,0.350401
1.16827,-0.93761,0.347689
1.16984,-0.93861,0.344981
1.17141,-0.939599,0.342278
1.17299,-0.940577,0.339579
1.17456,-0.941546,0.336885
1.17613,-0.942504,0.334195
1.1777,-0.943452,0.33151
1.17928,-0.94439,0.328829
1.18085,-0.945317,0.326152
1.18242,-0.946235,0.323481
1.18399,-0.947142,0.320814
1.18557,-0.94804,0.318151
1.18714,-0.948928,0.315493
1.18871,-0.949806,0.31284
1.19028,-0.950674,0.310192
1.19186,-0.951532,0.307548
1.19343,-0.952381,0.304909
1.195,-0.953221,0.302275
1.19657,-0.95405,0.299646
1.19814,-0.954871,0.297022
1.19972,-0.955682,0.294402
1.20129,-0.956483,0.291787
1.20286,-0.957275,0.289178
1.20443,-0.958058,0.286573
1.20601,-0.958832,0.283973
1.20758,-0.959597,0.281378
1.20915,-0.960353,0.278788
1.21072,-0.961099,0.276203
1.2123,-0.961837,0.273623
1.21387,-0.962566,0.271049
1.21544,-0.963286,0.268479
1.21701,-0.963997,0.265914
1.21859,-0.964699,0.263355
1.22016,-0.965393,0.2608
1.22173,-0.966078,0.258251
1.2233,-0.966754,0.255707
1.22488,-0.967422,0.253168
1.22645,-0.968082,0.250634
1.22802,-0.968733,0.248105
1.22959,-0.969376,0.245582
1.23116,-0.97001,0.243064
1.23274,-0.970636,0.240551
1.23431,-0.971254,0.238044
1.23588,-0.971864,0.235541
1.23745,-0.972466,0.233044
1.23903,-0.97306,0.230553
1.2406,-0.973646,0.228066
1.24217,-0.974223,0.225585
1.24374,-0.974793,0.22311
1.24532,-0.975355,0.220639
1.24689,-0.97591,0.218174
1.24846,-0.976456,0.215715
1.25003,-0.976995,0.213261
1.25161,-0.977527,0.210812
1.25318,-0.97805,0.208369
1.25475,-0.978567,0.205931
1.25632,-0.979075,0.203498
1.25789,-0.979577,0.201071
1.25947,-0.980071,0.19865
1.26104,-0.980557,0.196234
1.26261,-0.981036,0.193824
1.26418,-0.981508,0.191421
1.26576,-0.981972,0.189025
