alpha,pi0Re,pi0Im,Dpi0Re,Dpi0Im
0.459132,0.12393,0,-0.0745306,0
0.460704,0.124018,0,-0.0738188,0
0.462276,0.124105,0,-0.0730973,0
0.463849,0.124192,0,-0.0723609,0
0.465421,0.124278,0,-0.0716162,0
0.466994,0.124363,0,-0.0708781,0
0.468566,0.124447,0,-0.0701254,0
0.470138,0.124531,0,-0.0693502,0
0.471711,0.124613,0,-0.0685728,0
0.473283,0.124695,0,-0.0677925,0
0.474855,0.124775,0,-0.0670072,0
0.476428,0.124854,0,-0.0662141,0
0.478,0.124932,0,-0.0654101,0
0.479572,0.125009,0,-0.0645984,0
0.481145,0.125084,0,-0.0637881,0
0.482717,0.125159,0,-0.0629757,0
0.48429,0.125233,0,-0.0621584,0
0.485862,0.125308,0,-0.0613338,0
0.487434,0.125382,0,-0.0604999,0
0.489007,0.125457,0,-0.0596548,0
0.490579,0.125531,0,-0.0587968,0
0.492151,0.125604,0,-0.0579242,0
0.493724,0.125677,0,-0.0570328,0
0.495296,0.12575,0,-0.0561301,0
0.496869,0.125821,0,-0.0552277,0
0.498441,0.125892,0,-0.0543254,0
0.500013,0.125963,0,-0.0534164,0
0.501586,0.126032,0,-0.0524996,0
0.503158,0.126101,0,-0.0515768,0
0.50473,0.126168,0,-0.0506458,0
0.506303,0.126234,0,-0.0497063,0
0.507875,0.126299,0,-0.0487579,0
0.509447,0.126363,0,-0.0478002,0
0.51102,0.126426,0,-0.0468346,0
0.512592,0.126487,0,-0.0458623,0
0.514165,0.126546,0,-0.0448846,0
0.515737,0.126604,0,-0.0439015,0
0.517309,0.126661,0,-0.0429119,0
0.518882,0.126715,0,-0.0419156,0
0.520454,0.126768,0,-0.0409125,0
0.522026,0.126819,0,-0.0399026,0
0.523599,0.126868,0,-0.0388859,0
0.525171,0.126917,0,-0.0378588,0
0.526744,0.126966,0,-0.0368143,0
0.528316,0.127015,0,-0.0357551,0
0.529888,0.127065,0,-0.0346848,0
0.531461,0.127114,0,-0.0336067,0
0.533033,0.127163,0,-0.0325231,0
0.534605,0.127211,0,-0.0314332,0
0.536178,0.127258,0,-0.0303353,0
0.53775,0.127303,0,-0.0292291,0
0.539322,0.127347,0,-0.0281147,0
0.540895,0.127389,0,-0.0269916,0
0.542467,0.127429,0,-0.0258593,0
0.54404,0.127466,0,-0.0247184,0
0.545612,0.127501,0,-0.0235698,0
0.547184,0.127532,0,-0.0224138,0
0.548757,0.127561,0,-0.0212512,0
0.550329,0.127585,0,-0.0200825,0
0.551901,0.127606,0,-0.0189079,0
0.553474,0.127623,0,-0.0177274,0
0.555046,0.127635,0,-0.0165417,0
0.556619,0.127645,0,-0.01535,0
0.558191,0.127655,0,-0.0141509,0
0.559763,0.127665,0,-0.0129435,0
0.561336,0.127674,0,-0.0117279,0
0.562908,0.127683,0,-0.0105046,0
0.56448,0.127692,0,-0.00927404,0
0.566053,0.1277,0,-0.00803567,0
0.567625,0.127708,0,-0.00678917,0
0.569197,0.127715,0,-0.00553484,0
0.57077,0.127721,0,-0.00427313,0
0.572342,0.127728,0,-0.00300428,0
0.573915,0.127733,0,-0.0017284,0
0.575487,0.127738,0,-0.000445532,0
0.577059,0.127743,0,0.000844251,0
0.578632,0.127746,0,0.00214083,0
0.580204,0.12775,0,0.00344406,0
0.581776,0.127752,0,0.00475375,0
0.583349,0.127754,0,0.00606968,0
0.584921,0.127755,0,0.0073913,0
0.586494,0.127755,0,0.00871819,0
0.588066,0.127752,0,0.0100517,0
0.589638,0.127744,0,0.0113927,0
0.591211,0.12773,0,0.0127415,0
0.592783,0.127713,0,0.0140985,0
0.594355,0.127691,0,0.0154634,0
0.595928,0.127665,0,0.016836,0
0.5975,0.127636,0,0.0182166,0
0.599072,0.127603,0,0.0196055,0
0.600645,0.127567,0,0.0209993,0
0.602217,0.127529,0,0.0223996,0
0.60379,0.127488,0,0.0238103,0
0.605362,0.127445,0,0.0252257,0
0.606934,0.1274,0,0.0266406,0
0.608507,0.127354,0,0.0280571,0
0.610079,0.127307,0,0.0294757,0
0.611651,0.127258,0,0.030897,0
0.613224,0.12721,0,0.0323218,0
0.614796,0.12716,0,0.033751,0
0.616369,0.127111,0,0.0351925,0
0.617941,0.127063,0,0.0366432,0
0.619513,0.127011,0,0.0381011,0
0.621086,0.126956,0,0.0395629,0
0.622658,0.126896,0,0.0410279,0
0.62423,0.126832,0,0.0424983,0
0.625803,0.126764,0,0.0439741,0
0.627375,0.126693,0,0.0454569,0
0.628947,0.126618,0,0.0469484,0
0.63052,0.12654,0,0.0484365,0
0.632092,0.126459,0,0.049922,0
0.633665,0.126375,0,0.0514078,0
0.635237,0.126288,0,0.052896,0
0.636809,0.126198,0,0.0543881,0
0.638382,0.126106,0,0.0558808,0
0.639954,0.126012,0,0.0573759,0
0.641526,0.125915,0,0.0588761,0
0.643099,0.125817,0,0.0603851,0
0.644671,0.125717,0,0.0619082,0
0.646244,0.125615,0,0.0634325,0
0.647816,0.125512,0,0.0649583,0
0.649388,0.125408,0,0.0664834,0
0.650961,0.125303,0,0.0680151,0
0.652533,0.125195,0,0.0695631,0
0.654105,0.125082,0,0.0710892,0
0.655678,0.124966,0,0.0725996,0
0.65725,0.124846,0,0.0741026,0
0.658822,0.124723,0,0.0756052,0
0.660395,0.124595,0,0.0771144,0
0.661967,0.124465,0,0.0786293,0
0.66354,0.12433,0,0.0801743,0
0.665112,0.124193,0,0.0817382,0
0.666684,0.124052,0,0.0832956,0
0.668257,0.123908,0,0.0848478,0
0.669829,0.123762,0,0.0864013,0
0.671401,0.123612,0,0.0879589,0
0.672974,0.12346,0,0.0895283,0
0.674546,0.123305,0,0.0910694,0
0.676119,0.123147,0,0.0925628,0
0.677691,0.122987,0,0.0940596,0
0.679263,0.122824,0,0.0956186,0
0.680836,0.12266,0,0.0972742,0
0.682408,0.122493,0,0.0989162,0
0.68398,0.122324,0,0.100547,0
0.685553,0.122153,0,0.101909,0
0.687125,0.12198,0,0.103261,0
0.688697,0.121806,0,0.104781,0
0.69027,0.12163,0,0.106354,0
0.691842,0.121451,0,0.107988,0
0.693415,0.121268,0,0.109507,0
0.694987,0.12108,0,0.110971,0
0.696559,0.120889,0,0.112448,0
0.698132,0.120693,0,0.113982,0
0.699704,0.120494,0,0.115531,0
0.701276,0.120291,0,0.117068,0
0.702849,0.120084,0,0.1186,0
0.704421,0.119873,0,0.120129,0
0.705994,0.119659,0,0.121676,0
0.707566,0.119441,0,0.123191,0
0.709138,0.119221,0,0.124665,0
0.710711,0.118997,0,0.126113,0
0.712283,0.11877,0,0.127548,0
0.713855,0.11854,0,0.128978,0
0.715428,0.118307,0,0.130417,0
0.717,0.118071,0,0.131875,0
0.718572,0.117833,0,0.133359,0
0.720145,0.117592,0,0.134848,0
0.721717,0.117348,0,0.136324,0
0.72329,0.117102,0,0.137799,0
0.724862,0.116855,0,0.139266,0
0.726434,0.116604,0,0.140725,0
0.728007,0.116352,0,0.142178,0
0.729579,0.116098,0,0.143626,0
0.731151,0.115842,0,0.145068,0
0.732724,0.115585,0,0.146503,0
0.734296,0.115324,0,0.147931,0
0.735869,0.115059,0,0.149354,0
0.737441,0.11479,0,0.150777,0
0.739013,0.114517,0,0.152192,0
0.740586,0.11424,0,0.153603,0
0.742158,0.113959,0,0.155034,0
0.74373,0.113674,0,0.156388,0
0.745303,0.113386,0,0.157695,0
0.746875,0.113093,0,0.15897,0
0.748447,0.112798,0,0.160231,0
0.75002,0.112499,0,0.161493,0
0.751592,0.112196,0,0.162773,0
0.753165,0.111891,0,0.164071,0
0.754737,0.111582,0,0.165401,0
0.756309,0.111271,0,0.166738,0
0.757882,0.110957,0,0.168049,0
0.759454,0.11064,0,0.169359,0
0.761026,0.11032,0,0.170655,0
0.762599,0.109998,0,0.17194,0
0.764171,0.109674,0,0.173215,0
0.765744,0.109347,0,0.17448,0
0.767316,0.109018,0,0.175734,0
0.768888,0.108687,0,0.176976,0
0.770461,0.108354,0,0.178205,0
0.772033,0.108019,0,0.179423,0
0.773605,0.107682,0,0.180627,0
0.775178,0.107344,0,0.181818,0
0.77675,0.107003,0,0.182998,0
0.778323,0.106658,0,0.18417,0
0.779895,0.10631,0,0.185336,0
0.781467,0.105958,0,0.186494,0
0.78304,0.105602,0,0.187642,0
0.784612,0.105244,0,0.188779,0
0.786184,0.104882,0,0.189908,0
0.787757,0.104516,0,0.191023,0
0.789329,0.104148,0,0.192149,0
0.790901,0.103776,0,0.193194,0
0.792474,0.103402,0,0.194179,0
0.794046,0.103025,0,0.195128,0
0.795619,0.102644,0,0.196058,0
0.797191,0.102262,0,0.196987,0
0.798763,0.101876,0,0.197897,0
0.800336,0.101488,0,0.198797,0
0.801908,0.101098,0,0.199713,0
0.80348,0.100705,0,0.200694,0
0.805053,0.10031,0,0.201655,0
0.806625,0.0999127,0,0.202593,0
0.808198,0.0995134,0,0.20352,0
0.80977,0.099112,0,0.204427,0
0.811342,0.0987087,0,0.205319,0
0.812915,0.0983036,0,0.206195,0
0.814487,0.0978967,0,0.207053,0
0.816059,0.0974882,0,0.207892,0
0.817632,0.097078,0,0.208713,0
0.819204,0.0966664,0,0.209516,0
0.820776,0.0962533,0,0.2103,0
0.822349,0.0958381,0,0.211071,0
0.823921,0.0954196,0,0.211833,0
0.825494,0.0949981,0,0.212587,0
0.827066,0.0945735,0,0.213333,0
0.828638,0.094146,0,0.214069,0
0.830211,0.0937157,0,0.214795,0
0.831783,0.0932826,0,0.21551,0
0.833355,0.0928469,0,0.216213,0
0.834928,0.0924086,0,0.216905,0
0.8365,0.0919679,0,0.217583,0
0.838073,0.0915247,0,0.218248,0
0.839645,0.0910793,0,0.218899,0
0.841217,0.0906316,0,0.219535,0
0.84279,0.0901819,0,0.220156,0
0.844362,0.0897301,0,0.220762,0
0.845934,0.0892764,0,0.22135,0
0.847507,0.0888208,0,0.221921,0
