# 20240823_150244
alpha,utauRe,utauIm
1.07078,1.47154,0
1.07236,1.47115,0
1.07393,1.47073,0
1.0755,1.47031,0
1.07707,1.46987,0
1.07864,1.46943,0
1.08022,1.46897,0
1.08179,1.46849,0
1.08336,1.46801,0
1.08493,1.46751,0
1.08651,1.467,0
1.08808,1.46648,0
1.08965,1.46595,0
1.09122,1.4654,0
1.0928,1.46484,0
1.09437,1.46427,0
1.09594,1.46369,0
1.09751,1.46309,0
1.09909,1.46249,0
1.10066,1.46187,0
1.10223,1.46123,0
1.1038,1.46059,0
1.10538,1.45994,0
1.10695,1.45927,0
1.10852,1.45859,0
1.11009,1.45789,0
1.11166,1.45719,0
1.11324,1.45647,0
1.11481,1.45575,0
1.11638,1.455,0
1.11795,1.45425,0
1.11953,1.45349,0
1.1211,1.45271,0
1.12267,1.45192,0
1.12424,1.45112,0
1.12582,1.45031,0
1.12739,1.44948,0
1.12896,1.44864,0
1.13053,1.4478,0
1.13211,1.44693,0
1.13368,1.44606,0
1.13525,1.44518,0
1.13682,1.44428,0
1.13839,1.44337,0
1.13997,1.44245,0
1.14154,1.44151,0
1.14311,1.44057,0
1.14468,1.43961,0
1.14626,1.43864,0
1.14783,1.43766,0
1.1494,1.43667,0
1.15097,1.43566,0
1.15255,1.43465,0
1.15412,1.43362,0
1.15569,1.43258,0
1.15726,1.43152,0
1.15884,1.43046,0
1.16041,1.42938,0
1.16198,1.42829,0
1.16355,1.42719,0
1.16513,1.42608,0
1.1667,1.42496,0
1.16827,1.42382,0
1.16984,1.42267,0
1.17141,1.42151,0
1.17299,1.42034,0
1.17456,1.41916,0
1.17613,1.41797,0
1.1777,1.41676,0
1.17928,1.41554,0
1.18085,1.41431,0
1.18242,1.41307,0
1.18399,1.41181,0
1.18557,1.41055,0
1.18714,1.40927,0
1.18871,1.40798,0
1.19028,1.40668,0
1.19186,1.40537,0
1.19343,1.40404,0
1.195,1.40271,0
1.19657,1.40136,0
1.19814,1.4,0
1.19972,1.39863,0
1.20129,1.39725,0
1.20286,1.39585,0
1.20443,1.39445,0
1.20601,1.39303,0
1.20758,1.3916,0
1.20915,1.39016,0
1.21072,1.38871,0
1.2123,1.38725,0
1.21387,1.38578,0
1.21544,1.38429,0
1.21701,1.38279,0
1.21859,1.38129,0
1.22016,1.37977,0
1.22173,1.37824,0
1.2233,1.3767,0
1.22488,1.37514,0
1.22645,1.37358,0
1.22802,1.37201,0
1.22959,1.37042,0
1.23116,1.36882,0
1.23274,1.36722,0
1.23431,1.3656,0
1.23588,1.36397,0
1.23745,1.36233,0
1.23903,1.36068,0
1.2406,1.35902,0
1.24217,1.35735,0
1.24374,1.35566,0
1.24532,1.35397,0
1.24689,1.35226,0
1.24846,1.35055,0
1.25003,1.34882,0
1.25161,1.34709,0
1.25318,1.34534,0
1.25475,1.34358,0
1.25632,1.34182,0
1.25789,1.34004,0
1.25947,1.33825,0
1.26104,1.33645,0
1.26261,1.33465,0
1.26418,1.33283,0
1.26576,1.331,0
1.26733,1.32916,0
1.2689,1.32731,0
1.27047,1.32545,0
1.27205,1.32358,0
1.27362,1.3217,0
1.27519,1.31981,0
1.27676,1.31792,0
1.27834,1.31601,0
1.27991,1.31409,0
1.28148,1.31216,0
1.28305,1.31022,0
1.28463,1.30827,0
1.2862,1.30631,0
1.28777,1.30434,0
1.28934,1.30237,0
1.29091,1.30038,0
1.29249,1.29838,0
1.29406,1.29637,0
1.29563,1.29436,0
1.2972,1.29233,0
1.29878,1.29029,0
1.30035,1.28825,0
1.30192,1.28619,0
1.30349,1.28413,0
1.30507,1.28205,0
1.30664,1.27997,0
1.30821,1.27788,0
1.30978,1.27577,0
1.31136,1.27366,0
1.31293,1.27154,0
1.3145,1.26941,0
1.31607,1.26727,0
1.31764,1.26512,0
1.31922,1.26296,0
1.32079,1.26079,0
1.32236,1.25862,0
1.32393,1.25643,0
1.32551,1.25424,0
1.32708,1.25203,0
1.32865,1.24982,0
1.33022,1.2476,0
1.3318,1.24537,0
1.33337,1.24313,0
1.33494,1.24088,0
1.33651,1.23863,0
1.33809,1.23637,0
1.33966,1.23409,0
1.34123,1.23182,0
1.3428,1.22953,0
1.34438,1.22723,0
1.34595,1.22493,0
1.34752,1.22262,0
1.34909,1.22031,0
1.35066,1.21798,0
1.35224,1.21565,0
1.35381,1.21331,0
1.35538,1.21097,0
1.35695,1.20862,0
1.35853,1.20626,0
1.3601,1.2039,0
1.36167,1.20154,0
1.36324,1.19916,0
1.36482,1.19679,0
1.36639,1.19441,0
1.36796,1.19202,0
1.36953,1.18963,0
1.37111,1.18724,0
1.37268,1.18484,0
1.37425,1.18244,0
1.37582,1.18003,0
1.37739,1.17763,0
1.37897,1.17522,0
1.38054,1.17281,0
1.38211,1.1704,0
1.38368,1.16799,0
1.38526,1.16558,0
1.38683,1.16317,0
1.3884,1.16076,0
1.38997,1.15835,0
1.39155,1.15594,0
1.39312,1.15353,0
1.39469,1.15113,0
1.39626,1.14872,0
1.39784,1.14632,0
1.39941,1.14393,0
1.40098,1.14154,0
1.40255,1.13915,0
1.40413,1.13677,0
1.4057,1.1344,0
1.40727,1.13203,0
1.40884,1.12966,0
1.41041,1.12731,0
1.41199,1.12496,0
1.41356,1.12262,0
1.41513,1.12029,0
1.4167,1.11797,0
1.41828,1.11566,0
1.41985,1.11337,0
1.42142,1.11108,0
1.42299,1.1088,0
1.42457,1.10654,0
1.42614,1.10429,0
1.42771,1.10205,0
1.42928,1.09983,0
1.43086,1.09762,0
1.43243,1.09543,0
1.434,1.09326,0
1.43557,1.0911,0
1.43714,1.08896,0
1.43872,1.08684,0
1.44029,1.08473,0
1.44186,1.08264,0
1.44343,1.08058,0
1.44501,1.07853,0
1.44658,1.07651,0
1.44815,1.07451,0
1.44972,1.07253,0
1.4513,1.07057,0
1.45287,1.06863,0
1.45444,1.06672,0
1.45601,1.06483,0
1.45759,1.06297,0
1.45916,1.06113,0
1.46073,1.05932,0
1.4623,1.05754,0
1.46388,1.05578,0
1.46545,1.05405,0
1.46702,1.05235,0
1.46859,1.05067,0
1.47016,1.04902,0
1.47174,1.04741,0
