# 20240927_193022
alpha,DtauRe,DtauIm
1.3145,-45.9986,0
1.31607,-45.902,0
1.31764,-45.8062,0
1.31922,-45.711,0
1.32079,-45.6166,0
1.32236,-45.523,0
1.32393,-45.43,0
1.32551,-45.3379,0
1.32708,-45.2465,0
1.32865,-45.1558,0
1.33022,-45.066,0
1.3318,-44.9769,0
1.33337,-44.8885,0
1.33494,-44.801,0
1.33651,-44.7142,0
1.33809,-44.6282,0
1.33966,-44.543,0
1.34123,-44.4585,0
1.3428,-44.3748,0
1.34438,-44.2918,0
1.34595,-44.2096,0
1.34752,-44.1281,0
1.34909,-44.0474,0
1.35066,-43.9673,0
1.35224,-43.888,0
1.35381,-43.8094,0
1.35538,-43.7314,0
1.35695,-43.6541,0
1.35853,-43.5774,0
1.3601,-43.5013,0
1.36167,-43.4259,0
1.36324,-43.3511,0
1.36482,-43.2768,0
1.36639,-43.2031,0
1.36796,-43.1299,0
1.36953,-43.0573,0
1.37111,-42.9852,0
1.37268,-42.9136,0
1.37425,-42.8425,0
1.37582,-42.7719,0
1.37739,-42.7017,0
1.37897,-42.632,0
1.38054,-42.5628,0
1.38211,-42.494,0
1.38368,-42.4256,0
1.38526,-42.3576,0
1.38683,-42.2901,0
1.3884,-42.223,0
1.38997,-42.1564,0
1.39155,-42.0902,0
1.39312,-42.0244,0
1.39469,-41.9591,0
1.39626,-41.8943,0
1.39784,-41.83,0
1.39941,-41.7661,0
1.40098,-41.7028,0
1.40255,-41.64,0
1.40413,-41.5778,0
1.4057,-41.5162,0
1.40727,-41.4553,0
1.40884,-41.3949,0
1.41041,-41.3353,0
1.41199,-41.2763,0
1.41356,-41.2181,0
1.41513,-41.1607,0
1.4167,-41.1041,0
1.41828,-41.0484,0
1.41985,-40.9935,0
1.42142,-40.9395,0
1.42299,-40.8865,0
1.42457,-40.8345,0
1.42614,-40.7834,0
1.42771,-40.7334,0
1.42928,-40.6845,0
1.43086,-40.6367,0
1.43243,-40.5899,0
1.434,-40.5443,0
1.43557,-40.4999,0
1.43714,-40.4566,0
1.43872,-40.4144,0
1.44029,-40.3735,0
