# 20240927_195706
alpha,tauRe,tauIm
1.01103,48.2498,0
1.01261,48.0729,0
1.01418,47.8963,0
1.01575,47.72,0
1.01732,47.5439,0
1.01889,47.3681,0
1.02047,47.1926,0
1.02204,47.0174,0
1.02361,46.8425,0
1.02518,46.6678,0
1.02676,46.4934,0
1.02833,46.3194,0
1.0299,46.1456,0
1.03147,45.9721,0
1.03305,45.7989,0
1.03462,45.626,0
1.03619,45.4534,0
1.03776,45.2811,0
1.03934,45.1091,0
1.04091,44.9375,0
1.04248,44.7661,0
1.04405,44.5951,0
1.04563,44.4243,0
1.0472,44.2539,0
1.04877,44.0838,0
1.05034,43.914,0
1.05191,43.7445,0
1.05349,43.5754,0
1.05506,43.4066,0
1.05663,43.2381,0
1.0582,43.0699,0
1.05978,42.9021,0
1.06135,42.7346,0
1.06292,42.5674,0
1.06449,42.4006,0
1.06607,42.234,0
1.06764,42.0679,0
1.06921,41.902,0
1.07078,41.7365,0
1.07236,41.5714,0
1.07393,41.4065,0
1.0755,41.2421,0
1.07707,41.0779,0
1.07864,40.9141,0
1.08022,40.7506,0
1.08179,40.5875,0
1.08336,40.4248,0
1.08493,40.2623,0
1.08651,40.1003,0
1.08808,39.9385,0
1.08965,39.7771,0
1.09122,39.6161,0
1.0928,39.4554,0
1.09437,39.2951,0
1.09594,39.1351,0
1.09751,38.9754,0
1.09909,38.8162,0
1.10066,38.6572,0
1.10223,38.4986,0
1.1038,38.3404,0
1.10538,38.1825,0
1.10695,38.025,0
1.10852,37.8678,0
1.11009,37.711,0
1.11166,37.5545,0
1.11324,37.3984,0
1.11481,37.2427,0
1.11638,37.0872,0
1.11795,36.9322,0
1.11953,36.7775,0
1.1211,36.6232,0
1.12267,36.4692,0
1.12424,36.3155,0
1.12582,36.1623,0
1.12739,36.0093,0
1.12896,35.8568,0
1.13053,35.7046,0
1.13211,35.5527,0
1.13368,35.4012,0
1.13525,35.25,0
1.13682,35.0993,0
1.13839,34.9488,0
1.13997,34.7987,0
1.14154,34.649,0
1.14311,34.4996,0
1.14468,34.3506,0
1.14626,34.2019,0
1.14783,34.0536,0
1.1494,33.9056,0
1.15097,33.758,0
1.15255,33.6108,0
1.15412,33.4638,0
1.15569,33.3173,0
1.15726,33.1711,0
1.15884,33.0252,0
1.16041,32.8797,0
1.16198,32.7345,0
1.16355,32.5897,0
1.16513,32.4453,0
1.1667,32.3012,0
1.16827,32.1574,0
1.16984,32.014,0
1.17141,31.8709,0
1.17299,31.7282,0
1.17456,31.5858,0
1.17613,31.4437,0
1.1777,31.302,0
1.17928,31.1607,0
1.18085,31.0197,0
1.18242,30.879,0
1.18399,30.7387,0
1.18557,30.5987,0
1.18714,30.459,0
1.18871,30.3197,0
1.19028,30.1807,0
1.19186,30.0421,0
1.19343,29.9038,0
1.195,29.7658,0
1.19657,29.6281,0
1.19814,29.4908,0
1.19972,29.3539,0
1.20129,29.2172,0
1.20286,29.0809,0
1.20443,28.9449,0
1.20601,28.8092,0
1.20758,28.6739,0
