# 20240725_151038
alpha,pi0Re,pi0Im
1.35853,-0.029115,0
1.3601,-0.029375,0
1.36167,-0.0296343,0
1.36324,-0.0298931,0
1.36482,-0.0301512,0
1.36639,-0.0304087,0
1.36796,-0.0306656,0
1.36953,-0.0309219,0
1.37111,-0.0311776,0
1.37268,-0.0314327,0
1.37425,-0.0316871,0
1.37582,-0.031941,0
1.37739,-0.0321942,0
1.37897,-0.0324468,0
1.38054,-0.0326988,0
1.38211,-0.0329502,0
1.38368,-0.033201,0
1.38526,-0.0334511,0
1.38683,-0.0337007,0
1.3884,-0.0339496,0
1.38997,-0.0341979,0
1.39155,-0.0344457,0
1.39312,-0.0346929,0
1.39469,-0.0349397,0
1.39626,-0.035186,0
1.39784,-0.0354318,0
1.39941,-0.0356771,0
1.40098,-0.035922,0
1.40255,-0.0361664,0
1.40413,-0.0364103,0
1.4057,-0.0366537,0
1.40727,-0.0368967,0
1.40884,-0.0371393,0
1.41041,-0.0373814,0
1.41199,-0.037623,0
1.41356,-0.0378642,0
1.41513,-0.0381049,0
1.4167,-0.0383452,0
1.41828,-0.0385851,0
1.41985,-0.0388245,0
1.42142,-0.0390635,0
1.42299,-0.0393021,0
1.42457,-0.0395403,0
1.42614,-0.0397781,0
1.42771,-0.0400154,0
1.42928,-0.0402524,0
1.43086,-0.0404889,0
1.43243,-0.040725,0
1.434,-0.0409608,0
1.43557,-0.0411961,0
1.43714,-0.0414311,0
1.43872,-0.0416657,0
1.44029,-0.0418999,0
1.44186,-0.0421337,0
1.44343,-0.0423671,0
1.44501,-0.0426002,0
1.44658,-0.0428329,0
1.44815,-0.0430653,0
1.44972,-0.0432972,0
1.4513,-0.0435289,0
1.45287,-0.0437602,0
1.45444,-0.0439911,0
1.45601,-0.0442217,0
1.45759,-0.044452,0
1.45916,-0.0446819,0
1.46073,-0.0449115,0
1.4623,-0.0451408,0
1.46388,-0.0453697,0
1.46545,-0.0455983,0
1.46702,-0.0458266,0
1.46859,-0.0460546,0
1.47016,-0.0462823,0
1.47174,-0.0465097,0
1.47331,-0.0467368,0
1.47488,-0.0469635,0
1.47645,-0.04719,0
1.47803,-0.0474162,0
1.4796,-0.0476422,0
1.48117,-0.0478678,0
1.48274,-0.0480931,0
1.48432,-0.0483182,0
1.48589,-0.048543,0
1.48746,-0.0487675,0
1.48903,-0.0489913,0
1.49061,-0.0492144,0
1.49218,-0.0494369,0
1.49375,-0.0496588,0
1.49532,-0.0498801,0
1.49689,-0.0501008,0
1.49847,-0.0503209,0
1.50004,-0.0505405,0
1.50161,-0.0507596,0
1.50318,-0.0509782,0
1.50476,-0.0511963,0
1.50633,-0.0514139,0
1.5079,-0.0516311,0
1.50947,-0.0518479,0
1.51105,-0.0520643,0
1.51262,-0.0522802,0
1.51419,-0.0524958,0
1.51576,-0.0527111,0
1.51734,-0.052926,0
1.51891,-0.0531407,0
1.52048,-0.053355,0
1.52205,-0.053569,0
1.52363,-0.0537829,0
1.5252,-0.0539964,0
1.52677,-0.0542098,0
1.52834,-0.054423,0
1.52991,-0.0546359,0
1.53149,-0.0548488,0
1.53306,-0.0550615,0
1.53463,-0.0552741,0
1.5362,-0.0554866,0
1.53778,-0.055699,0
1.53935,-0.0559113,0
1.54092,-0.0561236,0
1.54249,-0.0563359,0
1.54407,-0.0565482,0
1.54564,-0.0567605,0
1.54721,-0.0569728,0
1.54878,-0.0571852,0
1.55036,-0.0573977,0
1.55193,-0.0576102,0
1.5535,-0.0578229,0
1.55507,-0.0580357,0
1.55665,-0.0582487,0
1.55822,-0.0584618,0
1.55979,-0.0586751,0
1.56136,-0.0588887,0
1.56293,-0.0591024,0
1.56451,-0.0593164,0
1.56608,-0.0595307,0
1.56765,-0.0597453,0
1.56922,-0.0599601,0
1.5708,-0.0601753,0
