# 20240927_201024
alpha,rRe,rIm
0.858513,81.9177,0
0.860086,81.9395,0
0.861658,81.9605,0
0.86323,81.9807,0
0.864803,82.0001,0
0.866375,82.0188,0
0.867948,82.0367,0
0.86952,82.0538,0
0.871092,82.0702,0
0.872665,82.0858,0
0.874237,82.1006,0
0.875809,82.1146,0
0.877382,82.128,0
0.878954,82.1405,0
0.880526,82.1523,0
0.882099,82.1633,0
0.883671,82.1737,0
0.885244,82.1832,0
0.886816,82.192,0
0.888388,82.2001,0
0.889961,82.2074,0
0.891533,82.214,0
0.893105,82.2199,0
0.894678,82.2251,0
0.89625,82.2295,0
0.897823,82.2332,0
0.899395,82.2363,0
0.900967,82.2385,0
0.90254,82.2402,0
0.904112,82.241,0
0.905684,82.2409,0
0.907257,82.2408,0
0.908829,82.2396,0
0.910401,82.2377,0
0.911974,82.2351,0
0.913546,82.2319,0
0.915119,82.228,0
0.916691,82.2234,0
0.918263,82.2181,0
0.919836,82.2122,0
0.921408,82.2057,0
0.92298,82.1985,0
0.924553,82.1906,0
0.926125,82.1821,0
0.927698,82.173,0
0.92927,82.1632,0
0.930842,82.1528,0
0.932415,82.1418,0
0.933987,82.1302,0
0.935559,82.1179,0
0.937132,82.1051,0
0.938704,82.0917,0
0.940276,82.0776,0
0.941849,82.063,0
0.943421,82.0478,0
0.944994,82.032,0
0.946566,82.0156,0
0.948138,81.9987,0
0.949711,81.9812,0
0.951283,81.9632,0
0.952855,81.9446,0
0.954428,81.9254,0
0.956,81.9057,0
0.957573,81.8855,0
0.959145,81.8647,0
0.960717,81.8435,0
0.96229,81.8217,0
0.963862,81.7994,0
0.965434,81.7765,0
0.967007,81.7532,0
0.968579,81.7294,0
0.970151,81.7051,0
0.971724,81.6803,0
0.973296,81.6551,0
0.974869,81.6294,0
0.976441,81.6032,0
0.978013,81.5765,0
0.979586,81.5494,0
0.981158,81.5219,0
0.98273,81.4939,0
0.984303,81.4654,0
0.985875,81.4366,0
0.987448,81.4073,0
0.98902,81.3776,0
0.990592,81.3475,0
0.992165,81.317,0
0.993737,81.286,0
0.995309,81.2547,0
0.996882,81.223,0
0.998454,81.1909,0
1.00003,81.1585,0
1.0016,81.1256,0
1.00317,81.0924,0
1.00474,81.0589,0
1.00632,81.025,0
1.00789,80.9907,0
1.00946,80.9561,0
1.01103,80.9211,0
1.01261,80.8859,0
1.01418,80.8503,0
1.01575,80.8143,0
1.01732,80.7781,0
1.01889,80.7416,0
1.02047,80.7047,0
1.02204,80.6676,0
1.02361,80.6301,0
1.02518,80.5924,0
1.02676,80.5544,0
1.02833,80.5161,0
1.0299,80.4775,0
1.03147,80.4387,0
1.03305,80.3996,0
1.03462,80.3603,0
1.03619,80.3207,0
1.03776,80.2809,0
1.03934,80.2408,0
1.04091,80.2005,0
1.04248,80.1599,0
1.04405,80.1191,0
1.04563,80.0782,0
1.0472,80.037,0
1.04877,79.9955,0
1.05034,79.9539,0
1.05191,79.9121,0
1.05349,79.8701,0
1.05506,79.8279,0
1.05663,79.7855,0
1.0582,79.7429,0
1.05978,79.7002,0
1.06135,79.6572,0
1.06292,79.6141,0
1.06449,79.5709,0
1.06607,79.5275,0
1.06764,79.4839,0
1.06921,79.4402,0
1.07078,79.3963,0
1.07236,79.3523,0
1.07393,79.3082,0
1.0755,79.2639,0
1.07707,79.2195,0
1.07864,79.175,0
1.08022,79.1303,0
1.08179,79.0856,0
1.08336,79.0407,0
1.08493,78.9957,0
1.08651,78.9506,0
1.08808,78.9054,0
1.08965,78.8601,0
1.09122,78.8148,0
1.0928,78.7693,0
1.09437,78.7238,0
1.09594,78.6782,0
1.09751,78.6325,0
1.09909,78.5867,0
1.10066,78.5409,0
1.10223,78.495,0
1.1038,78.449,0
1.10538,78.403,0
1.10695,78.3569,0
1.10852,78.3108,0
1.11009,78.2646,0
1.11166,78.2184,0
1.11324,78.1721,0
1.11481,78.1259,0
1.11638,78.0795,0
1.11795,78.0332,0
1.11953,77.9868,0
1.1211,77.9404,0
1.12267,77.894,0
1.12424,77.8476,0
1.12582,77.8011,0
1.12739,77.7547,0
1.12896,77.7082,0
1.13053,77.6618,0
1.13211,77.6153,0
1.13368,77.5689,0
1.13525,77.5224,0
1.13682,77.476,0
1.13839,77.4296,0
1.13997,77.3831,0
1.14154,77.3368,0
1.14311,77.2904,0
1.14468,77.244,0
1.14626,77.1977,0
1.14783,77.1514,0
1.1494,77.1052,0
1.15097,77.059,0
1.15255,77.0128,0
1.15412,76.9667,0
1.15569,76.9206,0
1.15726,76.8745,0
1.15884,76.8286,0
1.16041,76.7826,0
1.16198,76.7367,0
1.16355,76.6909,0
1.16513,76.6451,0
1.1667,76.5994,0
1.16827,76.5538,0
1.16984,76.5082,0
1.17141,76.4627,0
1.17299,76.4173,0
1.17456,76.372,0
1.17613,76.3267,0
1.1777,76.2815,0
1.17928,76.2364,0
1.18085,76.1914,0
1.18242,76.1464,0
1.18399,76.1016,0
1.18557,76.0568,0
1.18714,76.0122,0
1.18871,75.9676,0
1.19028,75.9231,0
1.19186,75.8788,0
1.19343,75.8345,0
1.195,75.7904,0
1.19657,75.7463,0
1.19814,75.7024,0
1.19972,75.6586,0
1.20129,75.6149,0
1.20286,75.5713,0
1.20443,75.5278,0
1.20601,75.4845,0
1.20758,75.4412,0
1.20915,75.3981,0
1.21072,75.3552,0
1.2123,75.3123,0
1.21387,75.2696,0
1.21544,75.2271,0
1.21701,75.1846,0
1.21859,75.1423,0
1.22016,75.1002,0
1.22173,75.0582,0
1.2233,75.0163,0
1.22488,74.9746,0
1.22645,74.933,0
1.22802,74.8916,0
1.22959,74.8504,0
1.23116,74.8093,0
1.23274,74.7684,0
1.23431,74.7276,0
1.23588,74.687,0
1.23745,74.6465,0
1.23903,74.6063,0
1.2406,74.5662,0
1.24217,74.5262,0
1.24374,74.4865,0
1.24532,74.4469,0
1.24689,74.4075,0
1.24846,74.3683,0
1.25003,74.3293,0
1.25161,74.2904,0
1.25318,74.2518,0
1.25475,74.2133,0
1.25632,74.175,0
1.25789,74.137,0
1.25947,74.0991,0
1.26104,74.0614,0
1.26261,74.024,0
1.26418,73.9867,0
1.26576,73.9496,0
1.26733,73.9128,0
1.2689,73.8761,0
1.27047,73.8397,0
1.27205,73.8035,0
1.27362,73.7675,0
1.27519,73.7317,0
1.27676,73.6962,0
1.27834,73.6608,0
1.27991,73.6257,0
1.28148,73.5908,0
1.28305,73.5562,0
1.28463,73.5217,0
1.2862,73.4876,0
1.28777,73.4536,0
1.28934,73.4199,0
1.29091,73.3864,0
1.29249,73.3532,0
1.29406,73.3202,0
1.29563,73.2874,0
1.2972,73.2549,0
1.29878,73.2226,0
1.30035,73.1906,0
1.30192,73.1588,0
1.30349,73.1273,0
1.30507,73.096,0
1.30664,73.065,0
1.30821,73.0343,0
1.30978,73.0038,0
1.31136,72.9736,0
1.31293,72.9436,0
1.3145,72.9139,0
1.31607,72.8844,0
1.31764,72.8553,0
1.31922,72.8264,0
1.32079,72.7977,0
1.32236,72.7694,0
1.32393,72.7413,0
1.32551,72.7135,0
1.32708,72.6859,0
1.32865,72.6587,0
1.33022,72.6317,0
1.3318,72.605,0
1.33337,72.5786,0
1.33494,72.5525,0
1.33651,72.5266,0
1.33809,72.5011,0
1.33966,72.4758,0
1.34123,72.4509,0
1.3428,72.4262,0
1.34438,72.4019,0
1.34595,72.3779,0
1.34752,72.3541,0
1.34909,72.3307,0
1.35066,72.3076,0
1.35224,72.2848,0
1.35381,72.2623,0
1.35538,72.2401,0
1.35695,72.2183,0
1.35853,72.1968,0
1.3601,72.1756,0
1.36167,72.1547,0
1.36324,72.1342,0
1.36482,72.1141,0
1.36639,72.0942,0
1.36796,72.0748,0
1.36953,72.0556,0
1.37111,72.0369,0
1.37268,72.0185,0
1.37425,72.0004,0
1.37582,71.9828,0
1.37739,71.9655,0
1.37897,71.9485,0
1.38054,71.932,0
1.38211,71.9159,0
1.38368,71.9001,0
1.38526,71.8847,0
1.38683,71.8698,0
1.3884,71.8552,0
1.38997,71.841,0
1.39155,71.8273,0
1.39312,71.814,0
1.39469,71.801,0
1.39626,71.7886,0
1.39784,71.7765,0
1.39941,71.7649,0
1.40098,71.7537,0
1.40255,71.743,0
1.40413,71.7327,0
1.4057,71.7229,0
1.40727,71.7135,0
1.40884,71.7046,0
1.41041,71.6961,0
1.41199,71.6882,0
1.41356,71.6806,0
1.41513,71.6736,0
1.4167,71.6671,0
1.41828,71.661,0
1.41985,71.6555,0
1.42142,71.6504,0
1.42299,71.6458,0
1.42457,71.6418,0
1.42614,71.6382,0
1.42771,71.6352,0
1.42928,71.6326,0
1.43086,71.6307,0
1.43243,71.6291,0
1.434,71.6284,0
1.43557,71.628,0
1.43714,71.628,0
1.43872,71.6288,0
1.44029,71.6299,0
1.44186,71.6318,0
1.44343,71.6341,0
1.44501,71.6371,0
1.44658,71.6406,0
1.44815,71.6448,0
1.44972,71.6495,0
1.4513,71.6548,0
1.45287,71.6607,0
1.45444,71.6672,0
1.45601,71.6744,0
1.45759,71.6822,0
1.45916,71.6906,0
1.46073,71.6997,0
1.4623,71.7094,0
1.46388,71.7198,0
1.46545,71.7309,0
1.46702,71.7427,0
1.46859,71.7551,0
1.47016,71.7683,0
1.47174,71.7822,0
1.47331,71.7969,0
1.47488,71.8123,0
1.47645,71.8284,0
1.47803,71.8453,0
1.4796,71.863,0
1.48117,71.8815,0
1.48274,71.9007,0
1.48432,71.9208,0
1.48589,71.9417,0
1.48746,71.9635,0
1.48903,71.9861,0
1.49061,72.0095,0
1.49218,72.0338,0
1.49375,72.059,0
1.49532,72.0851,0
1.49689,72.1121,0
1.49847,72.1399,0
1.50004,72.1687,0
1.50161,72.1984,0
1.50318,72.229,0
1.50476,72.2606,0
1.50633,72.2931,0
1.5079,72.3266,0
1.50947,72.361,0
1.51105,72.3964,0
1.51262,72.4327,0
1.51419,72.47,0
1.51576,72.5083,0
1.51734,72.5477,0
1.51891,72.588,0
1.52048,72.6293,0
1.52205,72.6717,0
1.52363,72.7152,0
1.5252,72.7597,0
1.52677,72.8054,0
1.52834,72.8522,0
1.52991,72.9001,0
1.53149,72.9493,0
1.53306,72.9997,0
1.53463,73.0514,0
1.5362,73.1044,0
1.53778,73.1589,0
1.53935,73.2148,0
1.54092,73.2723,0
1.54249,73.3314,0
1.54407,73.3923,0
1.54564,73.455,0
1.54721,73.5197,0
1.54878,73.5864,0
1.55036,73.6553,0
1.55193,73.7266,0
1.5535,73.8004,0
1.55507,73.8768,0
1.55665,73.9561,0
1.55822,74.0384,0
1.55979,74.1238,0
1.56136,74.2126,0
1.56293,74.305,0
1.56451,74.4012,0
1.56608,74.5014,0
1.56765,74.6058,0
1.56922,74.7148,0
1.5708,74.8294,0
