# 20240725_151947
alpha,DpiplusRe,DpiplusIm
0.599072,2.51012,-0.869203
0.600645,2.51574,-0.859696
0.602217,2.52132,-0.850125
0.60379,2.52732,-0.84064
0.605362,2.53309,-0.831025
0.606934,2.53821,-0.821145
0.608507,2.54296,-0.811103
0.610079,2.54746,-0.800937
0.611651,2.5518,-0.790682
0.613224,2.55607,-0.780367
0.614796,2.56037,-0.770022
0.616369,2.56528,-0.759819
0.617941,2.57052,-0.749671
0.619513,2.57583,-0.739493
0.621086,2.58091,-0.729209
0.622658,2.58576,-0.718815
0.62423,2.59054,-0.70836
0.625803,2.59526,-0.697846
0.627375,2.60001,-0.687304
0.628947,2.60491,-0.676757
0.63052,2.60928,-0.666035
0.632092,2.61322,-0.655163
0.633665,2.61691,-0.644181
0.635237,2.62049,-0.633128
0.636809,2.62405,-0.622021
0.638382,2.62742,-0.610829
0.639954,2.63071,-0.599576
0.641526,2.63406,-0.588294
0.643099,2.63762,-0.577016
0.644671,2.64161,-0.565788
0.646244,2.64546,-0.554483
0.647816,2.64919,-0.543111
0.649388,2.65274,-0.531656
0.650961,2.65639,-0.520181
0.652533,2.66046,-0.508742
0.654105,2.66345,-0.497055
0.655678,2.66566,-0.48519
0.65725,2.66743,-0.47322
0.658822,2.66905,-0.461198
0.660395,2.67077,-0.44917
0.661967,2.67256,-0.437131
0.66354,2.67523,-0.425207
0.665112,2.67837,-0.413325
0.666684,2.68114,-0.401351
0.668257,2.68361,-0.389301
0.669829,2.68599,-0.37721
0.671401,2.68839,-0.365092
0.672974,2.69103,-0.352978
0.674546,2.69273,-0.340713
0.676119,2.69295,-0.328249
0.677691,2.69325,-0.315785
0.679263,2.69528,-0.303507
0.680836,2.69991,-0.291487
0.682408,2.70402,-0.279365
0.68398,2.7077,-0.267156
0.685553,2.70415,-0.254228
0.687125,2.70044,-0.241299
0.688697,2.70116,-0.228755
0.69027,2.70322,-0.216288
0.691842,2.70671,-0.203886
0.693415,2.70721,-0.191216
0.694987,2.70624,-0.178424
0.696559,2.70554,-0.165634
0.698132,2.70615,-0.152904
0.699704,2.70702,-0.140161
0.701276,2.70755,-0.127372
0.702849,2.70787,-0.11455
0.704421,2.70805,-0.101699
0.705994,2.7086,-0.0888396
0.707566,2.70835,-0.0759337
0.709138,2.70717,-0.0629897
0.710711,2.70544,-0.0500288
0.712283,2.70341,-0.0370625
0.713855,2.70131,-0.0240977
0.715428,2.69937,-0.0111368
0.717,2.69786,0.00182233
0.718572,2.69686,0.014786
0.720145,2.69598,0.0277571
0.721717,2.69481,0.0407306
0.72329,2.69364,0.0537081
0.724862,2.69231,0.0666851
0.726434,2.69085,0.0796596
0.728007,2.68928,0.0926303
0.729579,2.68763,0.105596
0.731151,2.68591,0.118557
0.732724,2.68408,0.131508
0.734296,2.68213,0.144447
0.735869,2.68001,0.15737
0.737441,2.67787,0.170283
0.739013,2.67555,0.183174
0.740586,2.67313,0.196055
0.742158,2.67104,0.208974
0.74373,2.6676,0.221796
0.745303,2.66335,0.234549
0.746875,2.65861,0.247249
0.748447,2.65364,0.259916
0.75002,2.64875,0.272573
0.751592,2.64417,0.285251
0.753165,2.63993,0.297952
0.754737,2.63623,0.310707
0.756309,2.63267,0.323475
0.757882,2.62872,0.336187
0.759454,2.62478,0.348891
0.761026,2.62068,0.361563
0.762599,2.61643,0.374203
0.764171,2.61208,0.386812
0.765744,2.60764,0.399391
0.767316,2.60308,0.411935
0.768888,2.59841,0.424441
0.770461,2.59362,0.436905
0.772033,2.58872,0.449326
0.773605,2.5837,0.461702
0.775178,2.57857,0.474032
0.77675,2.57331,0.486307
0.778323,2.56795,0.498532
0.779895,2.56249,0.510705
0.781467,2.55693,0.522823
0.78304,2.55125,0.534881
0.784612,2.54543,0.54687
0.786184,2.53954,0.558805
0.787757,2.53348,0.57066
0.789329,2.52759,0.58251
0.790901,2.52068,0.59408
0.792474,2.51307,0.605423
0.794046,2.50504,0.616603
0.795619,2.49685,0.627682
0.797191,2.48873,0.638742
0.798763,2.48045,0.649732
0.800336,2.47212,0.660678
0.801908,2.46407,0.67167
0.80348,2.45691,0.682874
0.805053,2.44956,0.694007
0.806625,2.44203,0.705057
0.808198,2.43442,0.716061
0.80977,2.42669,0.726993
0.811342,2.41885,0.737865
0.812915,2.41093,0.748673
0.814487,2.40289,0.759411
0.816059,2.39474,0.770071
0.817632,2.38647,0.780657
0.819204,2.37812,0.791167
0.820776,2.36966,0.801598
0.822349,2.3611,0.811949
0.823921,2.35244,0.822215
0.825494,2.34368,0.832392
0.827066,2.33482,0.842482
0.828638,2.32587,0.852483
0.830211,2.31682,0.86239
0.831783,2.30767,0.8722
0.833355,2.29843,0.881915
0.834928,2.28911,0.891531
0.8365,2.27969,0.901043
0.838073,2.27019,0.910453
0.839645,2.26059,0.919758
0.841217,2.25091,0.928951
0.84279,2.24115,0.938039
0.844362,2.23131,0.947018
0.845934,2.22138,0.955882
0.847507,2.21137,0.964628
0.849079,2.2013,0.973262
0.850651,2.19114,0.981775
0.852224,2.18091,0.990166
0.853796,2.1706,0.998438
0.855369,2.16024,1.00659
0.856941,2.14979,1.01461
0.858513,2.13928,1.0225
0.860086,2.12872,1.03028
0.861658,2.11808,1.03791
0.86323,2.10739,1.04542
0.864803,2.09663,1.0528
0.866375,2.08583,1.06005
0.867948,2.07495,1.06715
0.86952,2.06403,1.07412
0.871092,2.05306,1.08095
0.872665,2.04206,1.08766
0.874237,2.03101,1.09422
0.875809,2.01991,1.10064
0.877382,2.00876,1.10692
0.878954,1.99758,1.11306
0.880526,1.98636,1.11906
0.882099,1.97511,1.12491
0.883671,1.96382,1.13062
0.885244,1.9525,1.13619
0.886816,1.94113,1.14166
0.888388,1.9297,1.14703
0.889961,1.91823,1.1523
0.891533,1.90671,1.15747
0.893105,1.89514,1.16253
0.894678,1.88353,1.16749
0.89625,1.87187,1.17235
0.897823,1.86017,1.1771
0.899395,1.84842,1.18174
0.900967,1.83665,1.18629
0.90254,1.82485,1.19073
0.904112,1.813,1.19505
0.905684,1.80112,1.19927
0.907257,1.78922,1.20339
0.908829,1.77729,1.2074
0.910401,1.76533,1.2113
0.911974,1.75335,1.2151
0.913546,1.74135,1.21879
0.915119,1.72932,1.22236
0.916691,1.71724,1.2258
0.918263,1.70518,1.22917
0.919836,1.69315,1.23245
0.921408,1.6811,1.23562
0.92298,1.66901,1.23867
0.924553,1.65692,1.24161
0.926125,1.64483,1.24444
0.927698,1.63273,1.24717
0.92927,1.62063,1.2498
0.930842,1.60854,1.25232
0.932415,1.59644,1.25473
0.933987,1.58436,1.25704
0.935559,1.57228,1.25925
0.937132,1.56021,1.26136
0.938704,1.54816,1.26336
0.940276,1.53612,1.26527
0.941849,1.5241,1.26707
0.943421,1.51209,1.26877
0.944994,1.50011,1.27038
0.946566,1.48814,1.27188
0.948138,1.47621,1.2733
0.949711,1.4643,1.27461
0.951283,1.45242,1.27583
0.952855,1.44057,1.27696
0.954428,1.42875,1.278
0.956,1.41696,1.27894
0.957573,1.40522,1.27979
0.959145,1.3935,1.28055
0.960717,1.38183,1.28123
0.96229,1.3702,1.28181
0.963862,1.35862,1.28231
0.965434,1.34707,1.28273
0.967007,1.33558,1.28306
0.968579,1.32414,1.28332
0.970151,1.31274,1.28349
0.971724,1.30139,1.28358
0.973296,1.29009,1.28359
0.974869,1.27885,1.28352
0.976441,1.26766,1.28337
0.978013,1.25654,1.28316
0.979586,1.24547,1.28288
0.981158,1.23447,1.28252
0.98273,1.22352,1.28209
0.984303,1.21264,1.28159
0.985875,1.20182,1.28102
0.987448,1.19106,1.28039
0.98902,1.18037,1.27969
0.990592,1.16974,1.27893
0.992165,1.15918,1.2781
0.993737,1.1487,1.27722
0.995309,1.13828,1.27627
0.996882,1.12794,1.27527
0.998454,1.11767,1.27421
1.00003,1.10747,1.2731
1.0016,1.09735,1.27194
1.00317,1.08729,1.27071
1.00474,1.07731,1.26943
1.00632,1.0674,1.2681
1.00789,1.05757,1.26672
1.00946,1.04782,1.2653
1.01103,1.03815,1.26383
1.01261,1.02856,1.26232
1.01418,1.01904,1.26075
1.01575,1.00961,1.25916
1.01732,1.00029,1.25755
1.01889,0.991016,1.25588
1.02047,0.981767,1.25409
1.02204,0.972591,1.25224
1.02361,0.96359,1.25049
1.02518,0.954712,1.24874
1.02676,0.945691,1.24667
1.02833,0.937132,1.24507
1.0299,0.92769,1.24215
1.03147,0.916485,1.23669
1.03305,0.901188,1.22546
1.03462,0.885766,1.21378
1.03619,0.874288,1.20726
1.03776,0.86737,1.20687
1.03934,0.858833,1.20409
1.04091,0.850486,1.20145
1.04248,0.842009,1.19851
1.04405,0.833786,1.19582
1.04563,0.825618,1.19311
1.0472,0.817532,1.1904
1.04877,0.809518,1.18769
1.05034,0.801557,1.18495
1.05191,0.793665,1.1822
1.05349,0.78585,1.17947
1.05506,0.778104,1.17673
1.05663,0.770424,1.17398
1.0582,0.762814,1.17124
1.05978,0.755266,1.16849
1.06135,0.747791,1.16574
1.06292,0.740376,1.16299
1.06449,0.733029,1.16024
1.06607,0.725747,1.15749
1.06764,0.718527,1.15474
1.06921,0.711373,1.15199
1.07078,0.704285,1.14925
1.07236,0.697258,1.1465
1.07393,0.690292,1.14376
1.0755,0.683398,1.14103
1.07707,0.67655,1.13828
1.07864,0.669767,1.13554
1.08022,0.663055,1.13282
1.08179,0.656401,1.13011
1.08336,0.6498,1.12738
1.08493,0.643269,1.12468
1.08651,0.636788,1.12198
1.08808,0.630339,1.11923
1.08965,0.623892,1.11638
1.09122,0.617613,1.11374
1.0928,0.611543,1.11139
1.09437,0.605689,1.10934
1.09594,0.599996,1.1075
1.09751,0.592862,1.10289
1.09909,0.584325,1.09554
1.10066,0.574786,1.08612
1.10223,0.559245,1.06506
1.1038,0.549654,1.05505
1.10538,0.543311,1.05111
1.10695,0.537754,1.0486
1.10852,0.531342,1.04431
1.11009,0.525865,1.04176
1.11166,0.520713,1.03977
1.11324,0.515554,1.03768
1.11481,0.510064,1.03484
1.11638,0.504325,1.0314
1.11795,0.49863,1.02794
1.11953,0.492987,1.02449
1.1211,0.487539,1.02135
1.12267,0.482385,1.01873
1.12424,0.477173,1.0159
1.12582,0.471971,1.013
1.12739,0.466843,1.01016
1.12896,0.461756,1.00732
1.13053,0.45671,1.00448
1.13211,0.451713,1.00166
1.13368,0.44677,0.998865
1.13525,0.441873,0.996083
1.13682,0.437017,0.993305
1.13839,0.432208,0.990543
1.13997,0.427447,0.987802
1.14154,0.422724,0.985061
1.14311,0.418042,0.982326
1.14468,0.413413,0.979627
1.14626,0.408822,0.976931
1.14783,0.404236,0.974157
1.1494,0.399765,0.971573
1.15097,0.395454,0.969296
1.15255,0.391062,0.966735
1.15412,0.386459,0.963563
1.15569,0.381812,0.960183
1.15726,0.377207,0.95681
1.15884,0.372769,0.953762
1.16041,0.369104,0.952616
1.16198,0.365631,0.95191
1.16355,0.361218,0.948678
1.16513,0.354647,0.939632
1.1667,0.344655,0.921241
1.16827,0.335246,0.904056
1.16984,0.326823,0.889206
1.17141,0.321938,0.883762
1.17299,0.319348,0.884541
1.17456,0.316793,0.885393
1.17613,0.313162,0.883186
1.1777,0.309133,0.879771
1.17928,0.305572,0.877596
1.18085,0.301821,0.874794
1.18242,0.29808,0.871934
1.18399,0.294491,0.86943
1.18557,0.290986,0.867092
1.18714,0.287505,0.864744
1.18871,0.283999,0.862242
1.19028,0.280491,0.859645
1.19186,0.276999,0.857016
1.19343,0.273542,0.854406
1.195,0.270136,0.85187
1.19657,0.26678,0.849409
1.19814,0.263441,0.846916
1.19972,0.260131,0.844433
1.20129,0.256851,0.84196
1.20286,0.253597,0.839492
1.20443,0.250371,0.837029
1.20601,0.247172,0.834574
1.20758,0.243998,0.832117
1.20915,0.24084,0.829632
1.21072,0.237721,0.827194
1.2123,0.234641,0.824808
1.21387,0.231574,0.822381
1.21544,0.228494,0.819823
1.21701,0.225412,0.817166
1.21859,0.222355,0.814513
1.22016,0.219352,0.811965
1.22173,0.216452,0.809715
1.2233,0.213614,0.807614
1.22488,0.210566,0.804631
1.22645,0.207551,0.801674
1.22802,0.205123,0.800908
1.22959,0.20229,0.798491
1.23116,0.198559,0.792401
1.23274,0.194624,0.785319
1.23431,0.190469,0.777143
1.23588,0.184463,0.761111
1.23745,0.179622,0.749543
1.23903,0.176669,0.74564
1.2406,0.173565,0.740973
1.24217,0.171096,0.738903
1.24374,0.168931,0.738082
1.24532,0.16651,0.736073
1.24689,0.164004,0.733603
1.24846,0.161587,0.73144
1.25003,0.159249,0.729555
1.25161,0.156885,0.727472
1.25318,0.154517,0.72528
1.25475,0.152166,0.723079
1.25632,0.149848,0.720951
1.25789,0.147559,0.718877
1.25947,0.145292,0.716823
1.26104,0.14304,0.714756
1.26261,0.140798,0.712649
1.26418,0.138572,0.710529
1.26576,0.136368,0.708423
1.26733,0.13418,0.706304
1.2689,0.132008,0.704175
1.27047,0.129853,0.702039
1.27205,0.127716,0.699898
1.27362,0.125596,0.697754
1.27519,0.123493,0.695605
1.27676,0.121407,0.693449
1.27834,0.119336,0.691285
1.27991,0.117282,0.689109
1.28148,0.115243,0.686922
1.28305,0.11322,0.684724
1.28463,0.111212,0.682518
1.2862,0.109221,0.680306
1.28777,0.107245,0.678084
1.28934,0.105284,0.675849
1.29091,0.103338,0.673601
1.29249,0.101408,0.671348
1.29406,0.0994952,0.669099
1.29563,0.0975988,0.666849
1.2972,0.0957175,0.664589
1.29878,0.0938499,0.662312
1.30035,0.0919946,0.660006
1.30192,0.0901515,0.657671
1.30349,0.0883227,0.655321
1.30507,0.0865101,0.652971
1.30664,0.0847157,0.650638
1.30821,0.0829418,0.648341
1.30978,0.0811789,0.646007
1.31136,0.0794227,0.643602
1.31293,0.077704,0.641376
1.3145,0.0759931,0.639091
1.31607,0.0742737,0.636603
1.31764,0.0722577,0.631386
1.31922,0.0702302,0.625818
1.32079,0.0682259,0.620197
1.32236,0.0662574,0.614636
1.32393,0.0643666,0.609537
1.32551,0.0626553,0.605919
1.32708,0.0610689,0.603336
1.32865,0.0595417,0.601198
1.33022,0.0580153,0.598931
1.3318,0.0565305,0.596958
1.33337,0.0551039,0.59548
1.33494,0.0537046,0.594193
1.33651,0.0523045,0.592792
1.33809,0.0508853,0.591058
1.33966,0.0494684,0.589222
1.34123,0.0480667,0.587432
1.3428,0.046675,0.585632
1.34438,0.0452939,0.583825
1.34595,0.0439236,0.582016
1.34752,0.0425635,0.580201
1.34909,0.0412139,0.578381
1.35066,0.0398747,0.576557
1.35224,0.038546,0.57473
1.35381,0.0372277,0.572901
1.35538,0.0359199,0.571072
1.35695,0.0346224,0.569241
1.35853,0.0333351,0.567407
1.3601,0.0320578,0.56557
1.36167,0.0307908,0.563732
1.36324,0.0295339,0.561895
1.36482,0.028287,0.560056
1.36639,0.0270501,0.558219
1.36796,0.0258232,0.556383
1.36953,0.0246063,0.55455
1.37111,0.0233991,0.552718
1.37268,0.0222018,0.550891
1.37425,0.0210143,0.549068
1.37582,0.0198363,0.547248
1.37739,0.018668,0.545434
1.37897,0.0175092,0.543627
1.38054,0.0163597,0.541824
1.38211,0.0152195,0.540026
1.38368,0.0140886,0.538239
1.38526,0.012967,0.536465
1.38683,0.0118545,0.534705
1.3884,0.0107509,0.532956
1.38997,0.00965609,0.531216
1.39155,0.00856991,0.529486
1.39312,0.00749235,0.527772
