# 20240725_151055
alpha,chiRe,chiIm
1.00003,-0.017387,0
1.0016,-0.0173709,0
1.00317,-0.0173543,0
1.00474,-0.0173373,0
1.00632,-0.0173197,0
1.00789,-0.0173017,0
1.00946,-0.0172831,0
1.01103,-0.0172642,0
1.01261,-0.0172447,0
1.01418,-0.0172248,0
1.01575,-0.0172045,0
1.01732,-0.0171838,0
1.01889,-0.0171627,0
1.02047,-0.0171412,0
1.02204,-0.0171193,0
1.02361,-0.017097,0
1.02518,-0.0170744,0
1.02676,-0.0170514,0
1.02833,-0.0170281,0
1.0299,-0.0170044,0
1.03147,-0.0169805,0
1.03305,-0.0169562,0
1.03462,-0.0169316,0
1.03619,-0.0169068,0
1.03776,-0.0168816,0
1.03934,-0.0168562,0
1.04091,-0.0168306,0
1.04248,-0.0168047,0
1.04405,-0.0167786,0
1.04563,-0.0167523,0
1.0472,-0.0167258,0
1.04877,-0.016699,0
1.05034,-0.0166721,0
1.05191,-0.016645,0
1.05349,-0.0166178,0
1.05506,-0.0165904,0
1.05663,-0.0165628,0
1.0582,-0.0165352,0
1.05978,-0.0165074,0
1.06135,-0.0164795,0
1.06292,-0.0164515,0
1.06449,-0.0164234,0
1.06607,-0.0163952,0
1.06764,-0.016367,0
1.06921,-0.0163387,0
1.07078,-0.0163104,0
1.07236,-0.0162821,0
1.07393,-0.0162537,0
1.0755,-0.0162253,0
1.07707,-0.016197,0
1.07864,-0.0161686,0
1.08022,-0.0161403,0
1.08179,-0.016112,0
1.08336,-0.0160837,0
1.08493,-0.0160556,0
1.08651,-0.0160274,0
1.08808,-0.0159994,0
1.08965,-0.0159714,0
1.09122,-0.0159436,0
1.0928,-0.0159159,0
1.09437,-0.0158883,0
1.09594,-0.0158608,0
1.09751,-0.0158335,0
1.09909,-0.0158063,0
1.10066,-0.0157793,0
1.10223,-0.0157525,0
1.1038,-0.0157258,0
1.10538,-0.0156994,0
1.10695,-0.0156732,0
1.10852,-0.0156472,0
1.11009,-0.0156212,0
1.11166,-0.0155949,0
1.11324,-0.0155684,0
1.11481,-0.0155418,0
1.11638,-0.0155149,0
1.11795,-0.0154878,0
1.11953,-0.0154605,0
1.1211,-0.0154331,0
1.12267,-0.0154054,0
1.12424,-0.0153776,0
1.12582,-0.0153496,0
1.12739,-0.0153215,0
1.12896,-0.0152931,0
1.13053,-0.0152647,0
1.13211,-0.0152361,0
1.13368,-0.0152073,0
1.13525,-0.0151784,0
1.13682,-0.0151494,0
1.13839,-0.0151202,0
1.13997,-0.0150909,0
1.14154,-0.0150615,0
1.14311,-0.015032,0
1.14468,-0.0150024,0
1.14626,-0.0149727,0
1.14783,-0.0149429,0
1.1494,-0.014913,0
1.15097,-0.0148831,0
1.15255,-0.014853,0
1.15412,-0.0148229,0
1.15569,-0.0147927,0
1.15726,-0.0147625,0
1.15884,-0.0147322,0
1.16041,-0.0147019,0
1.16198,-0.0146715,0
1.16355,-0.0146411,0
1.16513,-0.0146107,0
1.1667,-0.0145802,0
1.16827,-0.0145497,0
1.16984,-0.0145192,0
1.17141,-0.0144887,0
1.17299,-0.0144582,0
1.17456,-0.0144277,0
1.17613,-0.0143972,0
1.1777,-0.0143668,0
1.17928,-0.0143363,0
1.18085,-0.0143059,0
1.18242,-0.0142755,0
1.18399,-0.0142452,0
1.18557,-0.0142148,0
1.18714,-0.0141846,0
1.18871,-0.0141544,0
1.19028,-0.0141242,0
1.19186,-0.0140942,0
1.19343,-0.0140641,0
1.195,-0.0140342,0
1.19657,-0.0140044,0
1.19814,-0.0139746,0
1.19972,-0.0139449,0
1.20129,-0.0139152,0
1.20286,-0.0138855,0
1.20443,-0.0138557,0
1.20601,-0.0138259,0
1.20758,-0.0137961,0
1.20915,-0.0137663,0
1.21072,-0.0137364,0
1.2123,-0.0137065,0
1.21387,-0.0136766,0
1.21544,-0.0136467,0
1.21701,-0.0136168,0
1.21859,-0.0135868,0
1.22016,-0.0135568,0
1.22173,-0.0135268,0
1.2233,-0.0134968,0
1.22488,-0.0134668,0
1.22645,-0.0134367,0
1.22802,-0.0134067,0
1.22959,-0.0133766,0
1.23116,-0.0133465,0
1.23274,-0.0133164,0
1.23431,-0.0132863,0
1.23588,-0.0132562,0
1.23745,-0.0132261,0
1.23903,-0.013196,0
1.2406,-0.0131659,0
1.24217,-0.0131357,0
1.24374,-0.0131056,0
1.24532,-0.0130754,0
1.24689,-0.0130453,0
1.24846,-0.0130151,0
1.25003,-0.012985,0
1.25161,-0.0129549,0
1.25318,-0.0129247,0
1.25475,-0.0128946,0
1.25632,-0.0128644,0
1.25789,-0.0128343,0
1.25947,-0.0128042,0
1.26104,-0.012774,0
1.26261,-0.0127439,0
1.26418,-0.0127138,0
1.26576,-0.0126837,0
1.26733,-0.0126536,0
1.2689,-0.0126235,0
1.27047,-0.0125934,0
1.27205,-0.0125634,0
1.27362,-0.0125333,0
1.27519,-0.0125033,0
1.27676,-0.0124733,0
1.27834,-0.0124433,0
1.27991,-0.0124133,0
1.28148,-0.0123833,0
1.28305,-0.0123533,0
1.28463,-0.0123234,0
1.2862,-0.0122935,0
1.28777,-0.0122636,0
1.28934,-0.0122337,0
1.29091,-0.0122039,0
1.29249,-0.012174,0
1.29406,-0.0121441,0
1.29563,-0.0121143,0
1.2972,-0.0120845,0
1.29878,-0.0120546,0
1.30035,-0.0120248,0
1.30192,-0.011995,0
1.30349,-0.0119652,0
1.30507,-0.0119354,0
1.30664,-0.0119056,0
1.30821,-0.0118758,0
1.30978,-0.011846,0
1.31136,-0.0118163,0
1.31293,-0.0117865,0
1.3145,-0.0117567,0
1.31607,-0.011727,0
1.31764,-0.0116972,0
1.31922,-0.0116675,0
1.32079,-0.0116377,0
1.32236,-0.011608,0
1.32393,-0.0115782,0
1.32551,-0.0115485,0
1.32708,-0.0115188,0
1.32865,-0.0114891,0
1.33022,-0.0114594,0
1.3318,-0.0114296,0
1.33337,-0.0113999,0
1.33494,-0.0113702,0
1.33651,-0.0113405,0
1.33809,-0.0113108,0
1.33966,-0.0112811,0
1.34123,-0.0112515,0
1.3428,-0.0112218,0
1.34438,-0.0111921,0
1.34595,-0.0111624,0
1.34752,-0.0111327,0
1.34909,-0.0111031,0
1.35066,-0.0110734,0
1.35224,-0.0110437,0
1.35381,-0.0110141,0
1.35538,-0.0109844,0
1.35695,-0.0109548,0
1.35853,-0.0109251,0
1.3601,-0.0108955,0
1.36167,-0.0108658,0
1.36324,-0.0108362,0
1.36482,-0.0108065,0
1.36639,-0.0107769,0
1.36796,-0.0107472,0
1.36953,-0.0107176,0
1.37111,-0.010688,0
1.37268,-0.0106583,0
1.37425,-0.0106287,0
1.37582,-0.0105991,0
1.37739,-0.0105694,0
1.37897,-0.0105398,0
1.38054,-0.0105102,0
1.38211,-0.0104806,0
1.38368,-0.010451,0
1.38526,-0.0104214,0
1.38683,-0.0103918,0
1.3884,-0.0103623,0
1.38997,-0.0103327,0
1.39155,-0.0103032,0
1.39312,-0.0102736,0
1.39469,-0.0102441,0
1.39626,-0.0102146,0
1.39784,-0.0101851,0
1.39941,-0.0101556,0
1.40098,-0.0101261,0
1.40255,-0.0100966,0
1.40413,-0.0100671,0
1.4057,-0.0100377,0
1.40727,-0.0100082,0
1.40884,-0.00997872,0
1.41041,-0.00994926,0
1.41199,-0.0099198,0
1.41356,-0.00989035,0
1.41513,-0.00986089,0
1.4167,-0.00983144,0
1.41828,-0.00980199,0
